title,brand,old_pred,old_conf,new_pred,reasoning_conf,conf_delta,escaped_grey,verifier_token,justification,error
HARPIC,UNBRANDED,branded,0.9991,branded,1.0,0.0009,True,Yes,"The word 'HARPIC' is the sole term in this title. It is a well-known manufacturer/brand name for toilet and bathroom cleaning products, identifying a real maker rather than describing a product type, ingredient, or material. It carries no descriptive meaning on its own — it does not indicate what the item is, its function, or any physical characteristic. Because the title consists entirely of a recognized brand name, the product is classified as branded.",
BANARASI LAL PEDA-200 Gms,Ksheer Sagar,branded,0.4494,unbranded,1.0,0.5506,True,Yes,"The title contains the words 'BANARASI LAL PEDA,' which could potentially signal a brand, but each word is better understood as descriptive: 'BANARASI' refers to the style or origin associated with Banaras (Varanasi), 'LAL' means 'red' in Hindi and describes a color or variety, and 'PEDA' is the name of a well-known Indian milk-based sweet — together they describe a type and style of confection rather than naming a maker. '200 Gms' is simply a weight measurement. No part of the title clearly identifies a real manufacturer or company by name, so the product is classified as unbranded.",
"Sakthi - Kulambu Chilli powder, 500gm",Unbranded,branded,1.0,branded,1.0,0.0,True,Yes,"The word 'Sakthi' is the specific term in this title that signals a brand. 'Sakthi' is a recognized spice manufacturer and company name (Sakthi Masala) that identifies the maker of this product, rather than being a descriptive term for the product itself. The remaining words — 'Kulambu Chilli powder' (a type of spice blend used in South Indian curry), and '500gm' (a weight measurement) — are purely descriptive, indicating the product type and size. Since 'Sakthi' clearly identifies a real maker, the product is classified as branded.",
EASTMADE - CUMIN (JEERA) 1 KG,unbranded,branded,0.9998,unbranded,0.0038,-0.996,False,No,"The word 'EASTMADE' could signal a brand, but it reads more like a descriptive compound term suggesting the product was 'made in the east' or an eastern-style product, rather than a clearly recognizable manufacturer or company name. 'CUMIN (JEERA)' is the product type — a common spice — and '1 KG' is a size descriptor. Without any additional context confirming 'EASTMADE' as a registered company or manufacturer, there is insufficient evidence in the title alone to classify this as a branded product.",
Chicken Curry Cut,Unbranded,unbranded,0.9928,unbranded,1.0,0.0072,True,Yes,"The title contains three words: 'Chicken' (a type of meat — descriptive), 'Curry' (a style of preparation or flavor — descriptive), and 'Cut' (referring to how the meat is portioned — descriptive). None of these words identify a real maker or company; together they simply describe what the product is — a chicken portioned in a curry-cut style. With no manufacturer or brand name present, the product is unbranded.",
SABUDANA NYLON,SHRI VARALAKSHMI,unbranded,0.9985,unbranded,1.0,0.0015,True,Yes,"The title contains two words: 'SABUDANA' and 'NYLON.' Sabudana is a descriptive term referring to tapioca pearls, a common food ingredient used in Indian cuisine. 'Nylon' here describes a variety or grade of sabudana (nylon sabudana is a well-known type characterized by its thin, translucent appearance), making it a descriptive style/type term rather than a maker or company name. No part of the title identifies a real manufacturer or brand.",
Tawa Roti (7 inch),Zomato HyperPure,unbranded,0.9974,unbranded,1.0,0.0026,True,Yes,"The title contains three potential signals: 'Tawa,' 'Roti,' and '7 inch.' 'Roti' is simply the product type — a type of flatbread common in South Asian cuisine. 'Tawa' refers to the cooking style or method, describing a flat griddle used to prepare the bread, making it a descriptive term rather than a maker's name. '7 inch' is a size measurement. None of these words identify a real manufacturer or company, so the product is unbranded.",
Kashmiri Mirch Powder,Unbranded,unbranded,0.996,unbranded,1.0,0.004,True,Yes,"The title contains three words: 'Kashmiri,' 'Mirch,' and 'Powder.' 'Kashmiri' is a geographical/regional descriptor referring to the Kashmir region, not a company or manufacturer name. 'Mirch' is the Hindi/Urdu word for chili pepper, describing the ingredient, and 'Powder' describes the physical form of the product. No part of the title identifies a real maker or company — the entire title is purely descriptive of what the product is.",
Chana Black,Unbrand,unbranded,0.9931,unbranded,1.0,0.0069,True,Yes,"The title contains two words: 'Chana' and 'Black.' 'Chana' is a descriptive term referring to chickpeas/lentils commonly used in South Asian cuisine, not a maker or company name. 'Black' is a color descriptor indicating the variety or type of the chana. Neither word identifies a real manufacturer or company, making this a purely descriptive product title.",
ROW - Barcode Lable 50mmX25mm Non Tearable,Unbranded,branded,0.0981,unbranded,1.0,0.9019,True,Yes,"The word 'ROW' could potentially signal a brand, but it reads more like an internal code or regional designation (such as 'Rest of World') rather than a recognizable manufacturer or company name. 'Barcode Lable' (Label) describes the product type, '50mmX25mm' is a size specification, and 'Non Tearable' describes the material property. No part of the title clearly identifies a real maker or company, so the product is classified as unbranded.",
Silken Tofu 300g Voila,Unbranded,branded,0.9998,branded,1.0,0.0002,True,Yes,"The word 'Voila' appears at the end of the title and reads as a brand or company name for the product rather than a descriptive term. 'Silken Tofu' is purely descriptive, referring to the type and texture of the product (silken-style tofu), and '300g' is a weight measurement. 'Voila' does not describe any ingredient, material, flavor, or function, making it the likely maker or seller name.",
Softy Premix Vanilla,MINUS 30,branded,0.5,unbranded,1.0,0.5,True,Yes,"The words 'Softy,' 'Premix,' and 'Vanilla' are each candidates to examine. 'Softy' describes a texture or style (soft-serve type product), 'Premix' indicates the product form (a pre-mixed powder or blend), and 'Vanilla' is a flavor descriptor. None of these words identify a real manufacturer or company; together they simply describe what the product is — a vanilla-flavored soft-serve premix.",
T Shirt Black NM M38,unbranded,unbranded,0.9993,unbranded,1.0,0.0007,True,Yes,"The title contains 'T Shirt' (a descriptive product type), 'Black' (a color descriptor), 'NM' (an abbreviation that could be an internal code or condition notation, but does not identify a recognizable manufacturer), and 'M38' (which appears to be a size or internal code rather than a company name). None of these terms identify a real maker or company, so the product is unbranded.",
Papad ( Big),Unbranded,unbranded,0.9995,unbranded,1.0,0.0005,True,Yes,"The title contains two words: 'Papad' and 'Big'. 'Papad' is a descriptive product type referring to a thin, crispy Indian flatbread/wafer, not a maker or company name. 'Big' is a descriptive size term indicating the product's dimensions. Neither word identifies a real manufacturer or company, so the product is unbranded.",
ROOH AFZA,Unbranded,branded,0.9998,branded,0.9999,0.0001,True,Yes,"The title contains the words 'ROOH AFZA,' which together form a well-known brand name for a rose-flavored syrup drink concentrate manufactured by Hamdard Laboratories. 'Rooh Afza' is not a descriptive term for an ingredient, material, or product type — it is a proprietary name that identifies the specific maker and product. No other words in the title serve a descriptive function, making the entire title a brand identifier.",
Crispy Cajun Breading Mix,unbrand,branded,0.7879,unbranded,1.0,0.2121,True,Yes,"The title contains no word that identifies a real maker or company. 'Crispy' is a descriptive texture term, 'Cajun' refers to a regional cooking style and flavor profile, 'Breading' describes the product type, and 'Mix' denotes its form. Every word in the title is purely descriptive of what the product is, not who makes it.",
Taski Suma Ultra (L2) 5L Can,Unbranded,branded,1.0,branded,1.0,0.0,True,Yes,"The title contains two strong brand signals. 'Taski' is a real manufacturer — a well-known professional cleaning equipment and chemical brand — making it a genuine maker/company name. 'Suma' is also a recognised brand name for a line of professional cleaning and dishwashing products. 'Ultra' is a descriptive/range qualifier, '(L2)' appears to be a product-line code, and '5L Can' describes the size and packaging — none of these identify a maker on their own.",
Eggs,unbranded,unbranded,0.9994,unbranded,1.0,0.0006,True,Yes,"The title consists of a single word, 'Eggs,' which is purely a descriptive product type naming what the item is. There are no other words in the title that could signal a brand, manufacturer, or company name. With no maker identified, the product is unbranded.",
Cutlery Set The Cake Story,unbranded,branded,0.7905,branded,1.0,0.2095,True,Yes,"The phrase 'The Cake Story' stands out as a distinct, stylized name that goes beyond describing the product's function or composition. While 'Cutlery Set' is purely descriptive — identifying the product type — 'The Cake Story' does not describe any ingredient, material, size, or function of a cutlery set, suggesting it is a brand or product line name used by a maker or retailer. The definite article 'The' combined with a narrative-style name ('Cake Story') is a recognizable branding convention rather than a descriptive term. Based solely on the title, this reads as a branded product line identifier.",
