title,inferred_raw_unit,inferred_raw_qty,uom_std_unit,brand,computed_std_qty,confidence,confidence_source,alternatives,model_reasoning,api_error
Samosa (half Done)-Snacc,,,piece,branded,0.05,0.7969,logprob,[],A typical samosa weighs around 50 grams.,
#_# Mango Duet (60 ml) - Go Zero,,,litre,branded,0.06,1.0,deterministic,[],explicit measurement parsed from row,
Curry Leaves,,,kg,unbranded,0.025,0.9982,logprob,[],A bunch of curry leaves typically weighs around 0.025 kg.,
GK - Infinite Food - Lemon Ice Tea Powder (30 G x 30 sachet),,,kg,branded,0.9,1.0,deterministic,[],explicit measurement parsed from row,
Alpha 6 -Toilet Bowl Cleaner 5L Can,,,litre,branded,5.0,1.0,deterministic,[],explicit measurement parsed from row,
Spring Onion,,,kg,unbranded,0.15,0.9978,logprob,[],A typical bunch of spring onions weighs around 0.15 kg.,
American Corn,,,piece,unbranded,0.25,0.9782,logprob,[],A typical ear of corn weighs about 0.25 kg.,
Ajinomoto (Golden Crown),,,kg,branded,1.0,0.6664,logprob,"[{""std_unit"": ""kg"", ""std_qty"": 1.0, ""prob"": 0.6664}, {""std_unit"": ""kg"", ""std_qty"": 0.5, ""prob"": 0.2267}]",Common retail packaging for seasoning products is 1 kg.,
Paneer,,,kg,unbranded,0.2,0.9199,logprob,[],Paneer is typically sold in 200g blocks.,
Rajma (Kidney beans) Pkt,,,kg,unbranded,0.5,0.9464,logprob,[],Typical packet size for beans is around 500g.,
Mutton Boneless,,,kg,unbranded,1.0,0.9955,logprob,[],Common retail package size for boneless meat.,
Chilli Cheese mixer-Snacc,,,kg,branded,0.2,0.5101,logprob,"[{""std_unit"": ""kg"", ""std_qty"": 0.2, ""prob"": 0.5101}, {""std_unit"": ""kg"", ""std_qty"": 0.15, ""prob"": 0.2525}]",Snack products like this often come in 200g bags.,
Paneer Tikka filling-Snacc,,,kg,branded,0.2,0.8559,logprob,[],"Paneer Tikka filling is often sold in small packs, typically around 200g.",
Green Zucchini,,,kg,unbranded,0.5,0.5793,logprob,"[{""std_unit"": ""kg"", ""std_qty"": 0.5, ""prob"": 0.5793}, {""std_unit"": ""kg"", ""std_qty"": 1.0, ""prob"": 0.4108}]",A typical retail package of zucchini is around 0.5 kg.,
MILK TONNED,,,litre,unbranded,1.0,0.9842,logprob,[],Milk is commonly sold in 1-litre cartons.,
MILK FULL CREAM,,,litre,unbranded,1.0,0.9836,logprob,[],Common retail size for milk is 1 litre.,
Green Chilli,,,kg,unbranded,0.1,0.9867,logprob,[],Small quantities like 100g are common for chillies.,
Cucumbar,,,kg,unbranded,0.25,0.9943,logprob,[],Smaller cucumbers can weigh around 0.25 kg each.,
Coriander Leaves (Dhaniya),,,kg,unbranded,0.05,0.9485,logprob,[],A small bunch of coriander leaves typically weighs around 50 grams.,
CARROT,,,kg,unbranded,1.0,0.9792,logprob,[],Carrots are often sold in 1 kg bags in grocery stores.,
ONION LARGE,,,kg,unbranded,0.5,0.7735,logprob,[],A large onion can also weigh around 0.5 kg.,
#_# Raspberry Cream Cake [500 gms] - Sassy Teaspoon,,,kg,branded,0.5,1.0,deterministic,[],explicit measurement parsed from row,
