title,label,brandname,confidence,verdict,phase,status,reasoning_s1,reasoning_s2,p_agree_s1,p_agree_s2,flags
#_# Chocolate Fudge Overload (NAS) 500 ml - Frozen Fun,Branded,Frozen Fun,0.0373,D,2,review,"The title follows the 'product description - SellerName' pattern. 'Frozen Fun' occupies the trailing suffix slot after the dash, which in this catalog's naming convention identifies the seller or brand. 'Chocolate Fudge Overload' is a product/flavor descriptor; '(NAS)' is likely an internal attribute code (e.g., No Added Sugar); '500 ml' is a pack size. 'Frozen Fun' is an unrecognized token as a nationally known brand, but it occupies the structural seller/brand slot in the title — it is not a generic food word, not a vernacular term, and not an internal code. It reads as a brand or seller name (morphology-based inference for the specific entity, but the structural slot assignment is fact-based). Therefore the product is Branded with 'Frozen Fun' as the brand/seller name.","The string ends with a hyphenated suffix ' - Frozen Fun'. In this catalog, a trailing 'product - X' slot denotes the seller/brand, which counts as branded per definition (seller names qualify). The leading '#_#' is an unrecognized token and not a maker name. 'Chocolate Fudge Overload' is a flavor/variant descriptor, not a manufacturer; '(NAS)' is a commonly used abbreviation for No Added Sugar; '500 ml' is a pack size. No other inline brand tokens (e.g., Knorr, Kinley) appear. 'Frozen Fun' is not a vernacular commodity term or internal code; it occupies the seller/brand slot, so the item is branded under 'Frozen Fun' (owner unknown/unrecognized).",0.0,0.0373,likely_wrong;morphology_guard;likely_wrong_s2
"Sakthi - Kulambu Chilli powder, 500gm",Branded,Sakthi (Sakthi Masala Pvt. Ltd.),1.0,A,2,review,"Sakthi is a well-known Indian spice brand owned by Sakthi Masala Pvt. Ltd., headquartered in Tamil Nadu, India. The company manufactures and markets a wide range of spice powders including Kulambu Chilli powder. 'Kulambu' is a Tamil word meaning a type of curry/gravy, and 'Chilli powder' is the product descriptor. The word 'Sakthi' appears in the leading slot before the hyphen, functioning as the brand/manufacturer identifier, not as a generic product descriptor. The 500gm indicates pack size. Therefore, 'Sakthi' is a recalled brand name, not a morphology-based inference.","Sakthi is an established Indian packaged-spice brand marketed by Sakthi Masala Pvt. Ltd., a Tamil Nadu-based spice manufacturer known for masala and chilli powder products. In the title, Sakthi appears in the leading position before a hyphen, which is a brand-then-product structure. Kulambu (also spelled kuzhambu) is a Tamil word for a curry/gravy style, functioning here as a flavor/style descriptor alongside the generic product term chilli powder. 500gm is the pack size. These facts indicate a specific branded packaged item, not a generic commodity. This is recalled brand knowledge, not morphology-based inference.",1.0,1.0,morphology_guard
Prepit Hyderabad Biriyan 1 kg,Branded,Prepit,0.5,,2,review,"The token 'Prepit' occupies the lead/maker-name slot in the title before the product descriptor 'Hyderabad Biriyan 1 kg'. 'Prepit' is not a known English, Hindi, Telugu, or other Indian vernacular word for any food item or commodity; it reads as a coined brand name for a ready-to-eat or meal-kit product. While I cannot recall a verified corporate owner or registration for 'Prepit', it is an unrecognized token that functions structurally as a brand identifier — it is not a generic descriptor, unit, or packaging code. Morphology-based inference supports this (coined portmanteau of 'prep' + 'it'), but the primary basis is structural: it precedes the product name and has no known vernacular meaning. Flagging as branded with 'Prepit' as the brand name.",,0.0,,likely_wrong;stage2_error
EASTMADE - CUMIN (JEERA) 1 KG,Branded,EASTMADE,0.5,,2,review,"The title follows the 'SELLER/BRAND - PRODUCT' pattern where 'EASTMADE' occupies the leading brand/seller slot before the hyphen. 'CUMIN (JEERA) 1 KG' is the commodity descriptor: cumin is the English name for jeera, a common spice, and 1 KG is the pack size — all generic. 'EASTMADE' is not a vernacular food word in any Indian language; it is a coined compound (East + Made) that functions as a brand or seller identifier. Unrecognized token as a nationally famous brand, but structurally it occupies the brand/seller slot in this catalog's naming convention ('product - X' or 'X - product'). Morphology-based inference partially applies, but the structural slot placement is the primary evidence for branding.",,0.023,,likely_wrong;stage2_error
Silken Tofu 300g Voila,Branded,Voila,0.0,D,2,review,"The title follows the pattern 'product description - seller/brand name' where 'Voila' occupies the trailing brand/seller slot. 'Silken Tofu 300g' is the product descriptor (silken tofu is a well-known soft variety of tofu; 300g is the weight). 'Voila' is a recognized brand name in the Indian specialty/health food market that sells tofu and similar products. Even if treated as an unrecognized token, it occupies the structural seller-name suffix slot and is not a generic food or vernacular word in any Indian language — 'voilà' is a French exclamatory word repurposed as a brand name, not a commodity descriptor. Therefore the product is branded.","‘Silken Tofu 300g’ is a generic product + weight (silken tofu is a standard tofu style; 300g is net weight). The trailing token ‘Voila’ is the only non-descriptive word and appears in the seller/brand slot commonly used in catalog titles after product + size. ‘Voila’ is not a commodity or attribute term in English or Indian food vernacular; ‘voilà’ is a French interjection meaning “there it is,” not a food name (checkable by any dictionary). Token ‘Voila’ is an unrecognized token here (no recalled owner/line). Given its position as a trailing seller/brand indicator, it counts as the brand/seller for this item (morphology-based inference, not recalled knowledge). Hence branded under the rule that a seller name in the trailing slot counts as branded.",0.3775,0.0,likely_wrong_s2;morphology_guard
STICKERS WVF COLD VARAVRAGE - THINK ORIGINS HAZELNUT COLD FILTER COFFEE FSSAI,Branded,Think Origins,0.0,D,2,review,"The token sequence 'THINK ORIGINS' appears mid-title as a multi-word proper noun identifying a specific brand/maker of the cold filter coffee product. 'Think Origins' is a specialty coffee brand operating in India (D2C/food-service segment) known for cold brew and filter coffee products. The surrounding tokens are descriptive: 'STICKERS WVF COLD' likely refers to packaging/label type (WVF = woven/film label material), 'HAZELNUT COLD FILTER COFFEE' is the product descriptor, and 'FSSAI' is the Indian food safety regulatory body whose logo/number appears on packaging — none of these are brand names. 'VARAVRAGE' is an unrecognized token, possibly a corrupted/OCR-garbled word (could be 'AVERAGE' or a packaging spec), not a brand name. The structural slot occupied by 'THINK ORIGINS' is clearly the brand identifier embedded mid-title between packaging specs and product description. Note: 'Think Origins' identification is partially morphology-based inference for the specific company details — the token pair reads as a coined brand name — but the structural placement as a named entity distinct from all descriptor words is clear.","Structural cue: the title uses a hyphen, and in this catalog the trailing “product - X” slot denotes a seller/brand; a seller in this slot counts as branded. Here, “THINK ORIGINS” appears immediately after the hyphen and before the generic product descriptor “HAZELNUT COLD FILTER COFFEE,” indicating the named maker/seller. Descriptive/non-brand tokens: “STICKERS” (packaging/labels), “WVF” (unrecognized code), “VARAVRAGE” (unrecognized token), and “FSSAI” refers to India’s Food Safety and Standards Authority (regulator), not a brand. “Hazelnut” is a flavor descriptor and “cold filter coffee” is a generic product type. I do not have recalled corporate details for “Think Origins”; treating it as the seller/brand based on the catalog’s hyphen-slot structure (morphology-based inference, not recalled knowledge).",0.0954,0.0,likely_wrong;morphology_guard;likely_wrong_s2
Shudh Garhwal - Khoya Pindi 1KG,Branded,Shudh Garhwal,0.5,,2,review,"The title follows the 'Product - Seller' pattern where 'Shudh Garhwal' occupies the seller/brand prefix slot and 'Khoya Pindi 1KG' is the product description. 'Khoya' (also spelled khoa) is a Hindi/Urdu word for milk solids reduced by boiling — a common dairy ingredient in Indian sweets, not a brand name. 'Pindi' refers to a specific shape/form of khoya (round, firm balls), also a vernacular descriptor. 'Shudh' means 'pure' in Hindi/Sanskrit, and 'Garhwal' is a geographic region in Uttarakhand, India. Together 'Shudh Garhwal' functions as a coined brand/seller name identifying a specific maker or seller of dairy products from or associated with the Garhwal region. It is not a generic product descriptor. This is consistent with small/regional D2C dairy brands in India that use regional identity as a brand marker. Morphology-based inference applies to the extent that 'Shudh Garhwal' is not a nationally recalled brand, but the structural slot it occupies (prefix before the dash, followed by product description) strongly supports it being a brand/seller name rather than a product attribute.",,0.148,,likely_wrong;stage2_error
Dollur Amla Jar,Unbranded,NA,0.7311,A,2,review,"The title follows the pattern '[Brand] [Product] [Packaging]': 'Dollur' occupies the leading brand-name slot, 'Amla' is the product (Indian gooseberry, a common food/pickle ingredient — vernacular Hindi/Sanskrit word), and 'Jar' is the packaging format. 'Dollur' is not a vernacular Hindi, Tamil, Telugu, or other Indian language word for any food or household item; it is not a generic descriptor. It appears to be a coined/proprietary brand name used by a manufacturer or seller for their amla product. Unrecognized token as a large national brand, but structurally it occupies the brand-name slot and has no generic meaning in any Indian language or English. Morphology-based inference that it is a brand name, not recalled knowledge of a specific registered brand, but the structural position and non-generic nature of 'Dollur' support BRANDED classification.","Amla is the generic product (Indian gooseberry; widely used for pickles/murabba), and Jar is the packaging type. The leading token “Dollur” is an unrecognized token (no recalled maker/manufacturer/brand ownership). In Indian produce/processed-fruit trade, “Dollar Amla” is a common size/grade descriptor for larger amla used for murabba, used by many unrelated sellers and not as a unique brand identifier; this is independently checkable across retail listings for “Dollar Amla/Murabba.” Given noisy catalog spellings, “Dollur” is likely a misspelling of “Dollar” (morphology-based inference, not recalled knowledge). There is no trailing “- Seller” pattern or any known embedded brand token. Net: this reads as grade + product + pack, i.e., a commodity description, not a specific maker/brand.",0.0,0.7311,likely_wrong
3 EASTMADE - BLACK PAPER WHOLE (KALI MIRCH),Branded,EASTMADE,0.5,,2,review,"The title follows the catalog pattern 'SELLER/BRAND - PRODUCT DESCRIPTION'. 'EASTMADE' occupies the leading seller/brand slot before the hyphen separator. The product described is 'BLACK PEPPER WHOLE (KALI MIRCH)' — 'KALI MIRCH' is standard Hindi for black pepper (kali = black, mirch = pepper/chilli), a generic commodity descriptor. 'EASTMADE' is not a Hindi/vernacular food word; it is a coined compound (East + Made) that functions as a brand or seller identifier. It is recognized as a spice/food brand operating in the Indian market. The numeral '3' at the start is likely a catalog sequence number, not part of the brand name. Therefore the product is BRANDED under EASTMADE.",,0.0015,,likely_wrong;stage2_error
Dhania Pudina Chutney-SNACC,Branded,SNACC,0.0,D,2,review,"The title follows the 'product - seller/brand' pattern where 'Dhania Pudina Chutney' is the product description (dhania = coriander in Hindi, pudina = mint in Hindi, chutney = condiment — all vernacular food words) and 'SNACC' occupies the trailing suffix slot after the hyphen, identifying the maker or seller. 'SNACC' is not a Hindi/vernacular food word; it is a coined/stylized spelling (double-C variant of 'snack') that functions as a brand or seller name in this structural position. Unrecognized token as a nationally famous brand, but the structural slot and non-generic nature of the word indicate it is a brand/seller identifier. Morphology-based inference partially applies — the stylized spelling suggests branding intent — but the primary evidence is the structural 'product - X' slot which per catalog rules counts as branded.","The tokens before the hyphen are generic product words: Dhania = coriander in Hindi, Pudina = mint in Hindi, Chutney = a generic condiment. After these generic terms, the title has a trailing hyphen-suffix 'SNACC'. In this catalog convention, a trailing 'product - X' suffix denotes the maker/seller/brand and counts as branded. 'SNACC' is an unrecognized token as a commodity or vernacular food word and contains no internal SKU/code pattern (no numbers or size codes). I do not recall 'SNACC' as a nationally famous FMCG brand; treated here as a seller/brand identifier solely based on its structural position after the hyphen. Therefore: Branded; brand/seller name = SNACC.",0.0,0.0,likely_wrong;likely_wrong_s2
