title,inferred_raw_unit,inferred_raw_qty,uom_std_unit,brand,computed_std_qty,confidence,confidence_source,alternatives,model_reasoning,api_error
Samosa (half Done)-Snacc,,,piece,branded,0.05,0.9,self_report,[],A typical samosa weighs around 50 grams.,
#_# Mango Duet (60 ml) - Go Zero,,,litre,branded,0.06,1.0,deterministic,[],explicit measurement parsed from row,
Curry Leaves,,,kg,unbranded,1.0,0.5,self_report,[],"No specific quantity provided, defaulting to 1 kg with low confidence.",
GK - Infinite Food - Lemon Ice Tea Powder (30 G x 30 sachet),,,kg,branded,0.9,1.0,deterministic,[],explicit measurement parsed from row,
Alpha 6 -Toilet Bowl Cleaner 5L Can,,,litre,branded,5.0,1.0,deterministic,[],explicit measurement parsed from row,
Spring Onion,,,kg,unbranded,1.0,0.5,self_report,[],"No specific quantity provided, assuming a default of 1 kg.",
American Corn,,,piece,unbranded,0.25,0.8,self_report,[],A typical ear of corn weighs about 0.25 kg.,
Ajinomoto (Golden Crown),,,kg,branded,1.0,0.5,self_report,[],No quantity information provided; assumed default of 1 kg.,
Paneer,,,kg,unbranded,1.0,0.5,self_report,[],"Typical paneer packages are often 1 kg, but no specific quantity is given.",
Rajma (Kidney beans) Pkt,,,kg,unbranded,0.5,0.6,self_report,[],Typical packet size for beans is around 500g.,
Mutton Boneless,,,kg,unbranded,1.0,0.5,self_report,[],"No quantity information provided, assuming default of 1 kg.",
Chilli Cheese mixer-Snacc,,,kg,branded,0.2,0.5,self_report,[],Typical snack pack size estimated without specific data.,
Paneer Tikka filling-Snacc,,,kg,branded,1.0,0.5,self_report,[],"No specific quantity provided, assuming a default of 1 kg.",
Green Zucchini,,,kg,unbranded,1.0,0.5,self_report,[],"No raw quantity provided, assuming typical single unit weight.",
MILK TONNED,,,litre,unbranded,1.0,0.5,self_report,[],"No quantity information provided, assuming default of 1 litre.",
MILK FULL CREAM,,,litre,unbranded,1.0,0.5,self_report,[],"No specific quantity provided, assuming a common size of 1 litre.",
Green Chilli,,,kg,unbranded,1.0,0.5,self_report,[],"No quantity information provided, assuming default of 1 kg.",
Cucumbar,,,kg,unbranded,1.0,0.5,self_report,[],Common default for vegetables when no quantity is specified.,
Coriander Leaves (Dhaniya),,,kg,unbranded,0.1,0.6,self_report,[],"Coriander is typically sold in small bunches, often around 100g.",
CARROT,,,kg,unbranded,1.0,0.5,self_report,[],Typical default assumption for produce without specific quantity.,
ONION LARGE,,,kg,unbranded,1.0,0.5,self_report,[],"No specific quantity provided, assumed typical single unit weight.",
#_# Raspberry Cream Cake [500 gms] - Sassy Teaspoon,,,kg,branded,0.5,1.0,deterministic,[],explicit measurement parsed from row,
#_# Salted Caramel Brownie - Sassy Teaspoon,,,kg,branded,0.2,0.6,self_report,[],Typical weight for a single brownie is around 200g.,
#_# Strawberry Raspberry Ice Pop - Getaway,,,piece,branded,0.1,0.8,self_report,[],Typical ice pop weighs around 0.1 kg.,
Bok Choy incremental 0.5 10333,,,kg,unbranded,0.5,0.9,self_report,[],The title suggests an incremental quantity of 0.5 kg.,
Button Mushroom,,,kg,unbranded,1.0,0.5,self_report,[],"No specific quantity information is provided, assuming a common default of 1 kg.",
#_# Kesar Pista Kulfi 300gm - Parsi Dairy Farm,,,kg,branded,0.3,1.0,deterministic,[],explicit measurement parsed from row,
Bada Pyaz ( Big Onion),,,kg,unbranded,1.0,0.5,self_report,[],"No quantity information provided, assuming default of 1 kg.",
Eggplant (Brinjal),,,kg,unbranded,1.0,0.5,self_report,[],"No raw quantity provided, assuming 1 kg as a common default.",
RAJMA,,,kg,unbranded,1.0,0.5,self_report,[],No quantity information provided; assumed default of 1 kg.,
Spring Onion,,,kg,unbranded,1.0,0.5,self_report,[],No specific quantity provided; assumed typical purchase size.,
#_# Frozen The Snicky Chonker (150g - Cookie) - Chonkers,,,kg,branded,0.15,1.0,deterministic,[],explicit measurement parsed from row,
Cauliflower,,,piece,unbranded,1.0,0.8,self_report,[],A typical cauliflower weighs around 1 kg.,
EGGS TRAY,,,piece,unbranded,0.06,0.8,self_report,[],A typical egg weighs about 60 grams.,
TOMATO,,,kg,unbranded,1.0,0.5,self_report,[],"No specific quantity provided, assuming default of 1 kg.",
EGGS TRAY,,,piece,unbranded,0.06,0.8,self_report,[],A typical egg weighs about 60 grams.,
Priya - Mustard Oil 1 L,,,litre,branded,1.0,1.0,deterministic,[],explicit measurement parsed from row,
Lettuce Green Curly/Leafy,,,kg,unbranded,1.0,0.5,self_report,[],Typical grocery unit for leafy greens is 1 kg.,
Mint Leaves,,,kg,unbranded,0.1,0.6,self_report,[],"Mint leaves are typically sold in small quantities, often around 100g.",
Potato Bun,,,piece,unbranded,0.06,0.8,self_report,[],A typical potato bun weighs around 60 grams.,
