title,brand,pred_brand,confidence,p_branded,raw_conf,logprob,verifier_token,stage1_reasoning,error
HARPIC,UNBRANDED,branded,0.9991,,0.9991,-0.000941,Yes,Harpic is a well-known branded toilet cleaning product by Reckitt Benckiser.,
BANARASI LAL PEDA-200 Gms,Ksheer Sagar,branded,0.4494,,0.5506,-0.596735,No,BANARASI LAL is a specific brand name associated with this peda sweet product.,
"Sakthi - Kulambu Chilli powder, 500gm",Unbranded,branded,1.0,,1.0,-5e-06,Yes,Sakthi is a well-known spice brand that markets and sells this Kulambu Chilli powder under its brand name.,
EASTMADE - CUMIN (JEERA) 1 KG,unbranded,branded,0.9998,,0.9998,-0.000164,Yes,EASTMADE is a specific brand name under which this cumin/jeera product is sold.,
Chicken Curry Cut,Unbranded,unbranded,0.9928,,0.9928,-0.007259,Yes,Chicken Curry Cut is a generic meat product with no specific brand name associated with it.,
SABUDANA NYLON,SHRI VARALAKSHMI,unbranded,0.9985,,0.9985,-0.00155,Yes,Sabudana Nylon refers to a variety of tapioca pearls (a generic commodity item) with no specific brand name indicated.,
Tawa Roti (7 inch),Zomato HyperPure,unbranded,0.9974,,0.9974,-0.002595,Yes,Tawa Roti is a generic flatbread product with no specific brand name associated with it.,
Kashmiri Mirch Powder,Unbranded,unbranded,0.996,,0.996,-0.004015,Yes,Kashmiri Mirch Powder is a generic spice with no specific brand name mentioned.,
Chana Black,Unbrand,unbranded,0.9931,,0.9931,-0.006928,Yes,Chana Black is a generic commodity legume with no specific brand name associated with it.,
ROW - Barcode Lable 50mmX25mm Non Tearable,Unbranded,branded,0.0981,,0.9019,-0.10323,No,ROW appears to be a specific brand name for these barcode labels.,
Silken Tofu 300g Voila,Unbranded,branded,0.9998,,0.9998,-0.000185,Yes,"The product is sold under the brand name 'Voila', making it a branded item.",
Softy Premix Vanilla,MINUS 30,branded,0.5,,0.5,-0.693157,No,Softy is a specific brand name used for this premix vanilla product.,
T Shirt Black NM M38,unbranded,unbranded,0.9993,,0.9993,-0.000699,Yes,The product appears to be a generic black t-shirt identified only by size/color codes with no recognizable brand name.,
Papad ( Big),Unbranded,unbranded,0.9995,,0.9995,-0.000466,Yes,Papad (Big) is a generic commodity item with no specific brand name mentioned.,
ROOH AFZA,Unbranded,branded,0.9998,,0.9998,-0.0002,Yes,Rooh Afza is a well-known branded sharbat/syrup manufactured by Hamdard.,
Crispy Cajun Breading Mix,unbrand,branded,0.7879,,0.7879,-0.238345,Yes,The specific named product 'Crispy Cajun Breading Mix' suggests a proprietary branded product with a distinct product line name.,
Taski Suma Ultra (L2) 5L Can,Unbranded,branded,1.0,,1.0,-8e-06,Yes,Taski is a well-known professional cleaning brand and Suma Ultra is a specific branded product line under it.,
Eggs,unbranded,unbranded,0.9994,,0.9994,-0.000571,Yes,Eggs is a generic commodity item with no specific brand name mentioned.,
Cutlery Set The Cake Story,unbranded,branded,0.7905,,0.7905,-0.235053,Yes,'The Cake Story' is a specific brand name associated with this cutlery set product.,
Plastic Storage Container 500ml,unbranded,unbranded,0.9989,,0.9989,-0.001117,Yes,The product is a generic plastic storage container with no specific brand name mentioned.,
Ketchup,,unbranded,0.9992,,0.9992,-0.000843,Yes,The product is listed as a generic 'Ketchup' with no specific brand name mentioned.,
GK-NY Pan Cake Sp Pkg Box 1PKT 100PC GK Dry 137497,OUTLET,branded,0.9927,,0.9927,-0.007373,Yes,The product is sold under the 'GK-NY' brand name with specific packaging.,
Korean LTO Menu,Unbranded,unbranded,0.9823,,0.9823,-0.017871,Yes,This appears to be a generic menu category label (Limited Time Offer) rather than a product sold under a specific brand name.,
Malaysian Noodles ( Flat Noodles ) 1kg,OUTLET,unbranded,0.9998,,0.9998,-0.000161,Yes,The product is described generically as Malaysian flat noodles with no specific brand name mentioned.,
Note Pad 3x3,unbranded,unbranded,0.9995,,0.9995,-0.000459,Yes,The product is described generically by its type and size with no specific brand name mentioned.,
Sumabrite Degreaser nd Heavy duty cleaner (break up HD),Unbranded,branded,0.9988,,0.9988,-0.00117,Yes,Sumabrite is a specific brand name for a degreaser and heavy duty cleaner product.,
Red Malka (Lal Masoor) Rajdhani,unbranded,branded,1.0,,1.0,-4.5e-05,Yes,Rajdhani is a well-known brand that sells packaged dal and grain products.,
Silver Pouch 6*8,unbranded,unbranded,0.9999,,0.9999,-7.6e-05,Yes,"This appears to be a generic packaging/storage pouch described only by its dimensions, with no specific brand name mentioned.",
AASHIRVAAD - ATTA 10 KG BAG,AASHIRVAAD,branded,1.0,,1.0,-2e-05,Yes,Aashirvaad is a well-known branded flour product by ITC Limited.,
Triplesec,unbranded,branded,0.7663,,0.7663,-0.266191,Yes,Triplesec is a branded orange-flavored liqueur/cocktail ingredient sold under a specific product name.,
Shudh Garhwal - Khoya Pindi 1KG,Unbranded,branded,0.9993,,0.9993,-0.000744,Yes,Shudh Garhwal is a specific brand name under which this Khoya Pindi product is sold.,
#_# Chocolate Fudge Overload (NAS) 500 ml - Frozen Fun,unbranded,branded,0.9817,,0.9817,-0.018434,Yes,The product is sold under the 'Frozen Fun' brand name.,
Prepit Hyderabad Biriyan 1 kg,Unbranded,branded,0.9996,,0.9996,-0.000357,Yes,Prepit is a specific brand name under which this Hyderabad Biryani product is sold.,
PLASTIC CONTAINER-150ML,Unbranded,unbranded,0.9984,,0.9984,-0.00165,Yes,This is a generic plastic container with no specific brand name associated with it.,
COLOUR CODE DOTT TUES,Unbranded,branded,0.0331,,0.9669,-0.033646,No,COLOUR CODE appears to be a brand name for this product line.,
Red Chili Paste 1kg pkt,unbranded,unbranded,0.9962,,0.9962,-0.003832,Yes,"The product has no specific brand name mentioned, making it a generic commodity item sold by weight.",
Sweetpotato (Kanga),unbranded,unbranded,0.9996,,0.9996,-0.000386,Yes,"Sweet potato is a generic commodity vegetable with no brand name, 'Kanga' appears to be a variety or local name.",
STICKERS WVF COLD VARAVRAGE - THINK ORIGINS HAZELNUT COLD FILTER COFFEE FSSAI,WVF,branded,0.9937,,0.9937,-0.00631,Yes,The product references 'Think Origins' which appears to be a specific brand name for a hazelnut cold filter coffee product.,
AANCH COVER,Unbranded,branded,0.1689,,0.8311,-0.184955,No,'AANCH' appears to be a specific brand name used for a cover/lid product.,
Dalchini,Unbranded,unbranded,0.9999,,0.9999,-0.000149,Yes,Dalchini (cinnamon) is a generic spice commodity with no specific brand name mentioned.,
Stone Flower(Dagad Phool),unbranded,unbranded,0.9999,,0.9999,-0.000102,Yes,Stone Flower (Dagad Phool) is a generic spice/herb with no specific brand name associated with it.,
Sambal Oelek,Unbranded,branded,0.1711,,0.8289,-0.18761,No,"Sambal Oelek is a specific branded chili paste product associated with Huy Fong Foods, sold under a distinct product name.",
Tandoori paneer tikka,Unbranded,unbranded,0.9984,,0.9984,-0.001574,Yes,Tandoori paneer tikka is a generic prepared food item with no specific brand name associated with it.,
Cocoa powder (Medium Brown) Vanhouten,Unbranded,branded,1.0,,1.0,-1.1e-05,Yes,Vanhouten is a well-known brand name associated with cocoa and chocolate products.,
Brown Sugar Paste Fondant,unbranded,unbranded,0.9997,,0.9997,-0.000336,Yes,The title describes a generic baking ingredient (brown sugar paste fondant) with no specific brand name mentioned.,
Butter Pouch 9X12,unbranded,unbranded,0.9997,,0.9997,-0.00027,Yes,The product title 'Butter Pouch 9X12' only describes the item and its size with no specific brand name mentioned.,
"Carrots/Gajar, incremental 0.5 10335",OUTLET,unbranded,0.9998,,0.9998,-0.000174,Yes,Carrots/Gajar is a generic fresh vegetable commodity with no brand name associated.,
Good Night Machine,Unbranded,branded,0.9756,,0.9756,-0.024727,Yes,"Good Night is a well-known brand that sells mosquito repellent products, and 'Good Night Machine' refers to their branded electric mosquito repellent device.",
Biryani Handi 750 GM,Unbranded,unbranded,0.9598,,0.9598,-0.04107,Yes,Biryani Handi appears to be a generic/commodity ready-to-eat dish description with no specific brand name associated with it.,
Green Tomato 1kg,Unbranded,unbranded,0.9998,,0.9998,-0.000164,Yes,Green Tomato is a generic fresh produce item sold by weight with no brand name.,
#_# Container lid - PMK Round Paper 500 ML Plastic - Prasuma,unbranded,branded,0.9649,,0.9649,-0.035778,Yes,"The product is sold under the 'Prasuma' brand name, indicating it is a branded item.",
Envelope,unbranded,unbranded,0.9991,,0.9991,-0.00087,Yes,Envelope is a generic stationery item with no specific brand name mentioned.,
MF White Compound CO W33,Unbranded,branded,0.7372,,0.7372,-0.304953,Yes,"MF appears to be a brand identifier with a specific product code (CO W33), indicating a branded compound product.",
Kobij-Cabbage,unbranded,unbranded,0.2975,,0.7025,-0.353068,No,Cabbage is a generic vegetable commodity with no specific brand name associated with it.,
Garbage Bag Black 30 x50,unbranded,unbranded,0.9999,,0.9999,-8.8e-05,Yes,"The product is described generically by its type, color, and size with no specific brand name mentioned.",
#_# FC - Orange Popsicle Ice Cream [70 Ml] - Noto,unbranded,branded,0.9996,,0.9996,-0.00038,Yes,"The product is sold under the brand name 'Noto', indicating it is a branded ice cream product.",
Malas strawberry crush 750ml,Unbranded,branded,0.9999,,0.9999,-8e-05,Yes,Mala's is a specific brand known for fruit crushes and syrups.,
Kit Kat,unbranded,branded,0.9998,,0.9998,-0.000234,Yes,Kit Kat is a well-known chocolate wafer brand owned by Nestlé.,
Beer Non Alcoholic 330 ml - Coolberg (Ginger Flavour),Coolberg,branded,0.9998,,0.9998,-0.000204,Yes,Coolberg is a specific brand name for non-alcoholic beer products.,
Perrier Water 330mL,unbranded,branded,0.9999,,0.9999,-0.000116,Yes,Perrier is a well-known branded sparkling mineral water product sold under the Perrier brand name.,
DIGESTIVE BISCUITS,unbranded,unbranded,0.9974,,0.9974,-0.002595,Yes,The title is a generic product category name with no specific brand mentioned.,
SS Mould Round Cutter - 12pcs,Unbranded,branded,0.0009,,0.9991,-0.000856,No,The 'SS' prefix appears to be a brand identifier for this set of round cutters.,
TASKI R3,Unbranded,branded,0.9996,,0.9996,-0.000405,Yes,"TASKI is a well-known professional cleaning products brand, and R3 is a specific product line under it.",
Dollur Amla Jar,unbranded,branded,0.9689,,0.9689,-0.03164,Yes,Dollur is a specific brand name under which this Amla product is sold.,
#_# Asafoetida / Hing - murukku,unbranded,unbranded,0.9756,,0.9756,-0.024727,Yes,Asafoetida (Hing) used for murukku is a generic spice commodity with no specific brand name mentioned.,
