title,label,confidence,brandname,verdict,status,flags,reasoning
GK-NY Pan Cake Sp Pkg Box 1PKT 100PC GK Dry 137497,Branded,0.0,GK,D,grey,likely_wrong,"The title contains 'GK-NY' at the start and 'GK Dry' later in the string. 'GK' appears to function as a brand/seller identifier repeated twice in the title — once as a prefix to 'NY Pan Cake' and once as a prefix to 'Dry', suggesting it is a house brand or seller label applied to this SKU. 'NY Pan Cake' likely refers to a New York-style pancake product variant. The trailing numeric code '137497' is an internal SKU code. 'Sp Pkg' = Special Packaging, '1PKT 100PC' = 1 packet of 100 pieces — these are packaging descriptors. 'GK' occupies a brand/seller name slot at the head of the title and recurs mid-title as a qualifier, consistent with a branded product line. Unrecognized token: the full identity of 'GK' as a company is not recalled from knowledge, but its repeated use as a name prefix (not a product descriptor) is structurally consistent with a brand or seller name. Morphology-based inference partially applies, but the structural repetition of 'GK' as a non-descriptive prefix strengthens the branded classification."
#_# Chocolate Fudge Overload (NAS) 500 ml - Frozen Fun,Branded,0.0,Frozen Fun,D,grey,likely_wrong;morphology_guard,"The title follows the 'product description - SellerName' pattern. 'Frozen Fun' occupies the trailing suffix slot after the dash, which in this catalog's naming convention identifies the seller or brand. 'Chocolate Fudge Overload' is a product/flavor descriptor; '(NAS)' is likely an internal attribute code (e.g., No Added Sugar); '500 ml' is a pack size. 'Frozen Fun' is an unrecognized token as a nationally known brand, but it occupies the structural seller/brand slot in the title — it is not a generic food word, not a vernacular term, and not an internal code. It reads as a brand or seller name (morphology-based inference for the specific entity, but the structural slot assignment is fact-based). Therefore the product is Branded with 'Frozen Fun' as the brand/seller name."
Prepit Hyderabad Biriyan 1 kg,Branded,0.0,Prepit,D,grey,likely_wrong,"The token 'Prepit' occupies the lead/maker-name slot in the title before the product descriptor 'Hyderabad Biriyan 1 kg'. 'Prepit' is not a known English, Hindi, Telugu, or other Indian vernacular word for any food item or commodity; it reads as a coined brand name for a ready-to-eat or meal-kit product. While I cannot recall a verified corporate owner or registration for 'Prepit', it is an unrecognized token that functions structurally as a brand identifier — it is not a generic descriptor, unit, or packaging code. Morphology-based inference supports this (coined portmanteau of 'prep' + 'it'), but the primary basis is structural: it precedes the product name and has no known vernacular meaning. Flagging as branded with 'Prepit' as the brand name."
Dollur Amla Jar,Branded,0.0,Dollur,D,grey,likely_wrong,"The title follows the pattern '[Brand] [Product] [Packaging]': 'Dollur' occupies the leading brand-name slot, 'Amla' is the product (Indian gooseberry, a common food/pickle ingredient — vernacular Hindi/Sanskrit word), and 'Jar' is the packaging format. 'Dollur' is not a vernacular Hindi, Tamil, Telugu, or other Indian language word for any food or household item; it is not a generic descriptor. It appears to be a coined/proprietary brand name used by a manufacturer or seller for their amla product. Unrecognized token as a large national brand, but structurally it occupies the brand-name slot and has no generic meaning in any Indian language or English. Morphology-based inference that it is a brand name, not recalled knowledge of a specific registered brand, but the structural position and non-generic nature of 'Dollur' support BRANDED classification."
Dhania Pudina Chutney-SNACC,Branded,0.0,SNACC,D,grey,likely_wrong,"The title follows the 'product - seller/brand' pattern where 'Dhania Pudina Chutney' is the product description (dhania = coriander in Hindi, pudina = mint in Hindi, chutney = condiment — all vernacular food words) and 'SNACC' occupies the trailing suffix slot after the hyphen, identifying the maker or seller. 'SNACC' is not a Hindi/vernacular food word; it is a coined/stylized spelling (double-C variant of 'snack') that functions as a brand or seller name in this structural position. Unrecognized token as a nationally famous brand, but the structural slot and non-generic nature of the word indicate it is a brand/seller identifier. Morphology-based inference partially applies — the stylized spelling suggests branding intent — but the primary evidence is the structural 'product - X' slot which per catalog rules counts as branded."
#_# Big Blue Box - Sweetish,Branded,0.0,Big Blue Box,D,grey,likely_wrong,"The title follows the pattern 'Product Line - Seller/Brand', where 'Big Blue Box' occupies the brand/seller name slot and 'Sweetish' is a descriptor or sub-line. 'Big Blue Box' is a coined proper-noun phrase functioning as a brand or seller identifier — it is not a generic commodity word, a vernacular food term, or an internal code. The capitalization and structure ('Big Blue Box') indicate a named entity. While I cannot recall a specific registered trademark history for 'Big Blue Box' in the Indian B2B grocery context, the phrase is structurally and semantically a brand name (a distinctive coined label, not a product description). Morphology-based inference: the phrase 'Big Blue Box' does not describe the product itself (no product category is named), confirming it functions as a brand/seller identifier rather than a commodity descriptor. 'Sweetish' as a trailing descriptor further supports that 'Big Blue Box' is the brand name."
#_# SIERRA 72% Dark Chocolate Bar - Ether,Branded,0.0,Ether,D,grey,likely_wrong,"The title follows the 'product - seller/brand' pattern where 'Ether' occupies the trailing suffix slot, identifying the maker or seller. 'SIERRA' appears to be a product line name (a 72% dark chocolate bar variant). 'Ether' is an unrecognized token as a food brand — I cannot recall a verified brand history for it — but structurally it sits in the seller/brand suffix position ('product - X'), which per catalog rules counts as branded. Morphology-based inference, not recalled knowledge, supports that 'Ether' is not a common English food/ingredient word and is not a vernacular food term, making it plausible as a brand or seller name in this slot. 'SIERRA' as a product line name further supports a branded product identity. Both tokens together indicate a branded product."
PG-Paper Tub Lids,Branded,0.0,PG-Paper,D,grey,likely_wrong,"The title follows the pattern '<Seller/Brand> - <Product Description>'. 'PG-Paper' occupies the leading brand/seller slot before the product noun 'Tub Lids'. It is hyphenated, suggesting a compound brand or seller name (e.g., a paper-products company identified as PG-Paper). While I cannot recall a specific registered brand history for 'PG-Paper' in Indian B2B catalogs, the token is not a generic English or vernacular word for any product or commodity — 'PG-Paper' has no known common-noun meaning in English or any major Indian language. It functions structurally as a brand/seller identifier. Morphology-based inference, not recalled knowledge: the hyphenated prefix format is consistent with a seller or brand name in this catalog's naming conventions. 'Tub Lids' is the product description. Therefore classified as Branded."
Active X Mustard Oil 500mL,Branded,0.0,Active X,D,grey,likely_wrong,"The title contains 'Active X' as a multi-word coined identifier preceding the product descriptor 'Mustard Oil 500mL'. 'Active X' is not a vernacular or generic word for mustard oil in any Indian language; it functions as a brand/product-line name on the product. While I do not have deep recalled knowledge of the specific manufacturer behind 'Active X' mustard oil, the token 'Active X' occupies the brand-name slot (head modifier before the commodity noun), is not a commodity descriptor, and is not a known vernacular food word. Morphology-based inference supports this reading, but the structural slot analysis is the primary basis: 'Active X' modifies 'Mustard Oil' as a brand identifier, not as a quality or variety descriptor. Unrecognized token in terms of specific ownership, but classified as branded based on structural position and non-generic nature of the term."
#_# Frozen OG Chocolate Chip Chonker - Chonkers,Branded,0.0,Chonkers,D,grey,likely_wrong;morphology_guard,"The title follows the 'product - seller/brand' pattern where 'Chonkers' appears in the trailing suffix slot after the dash, identifying the maker or brand line. 'Chonker' / 'Chonkers' is not a standard English or Indian vernacular food word; it is a coined product/brand name used to identify a specific seller or brand line of oversized cookies ('Chonker' being a colloquial term for something large/chunky, repurposed as a brand identity). The product described is 'Frozen OG Chocolate Chip Chonker', a specific SKU, and 'Chonkers' in the trailing slot functions as the brand/seller name per catalog conventions. Unrecognized token as a registered brand, but the structural slot (post-dash suffix) and coined commercial usage strongly indicate a branded seller identity. Note: morphology-based inference partially applies here — 'Chonkers' is not a recalled registered brand from knowledge, but the structural slot is the primary determinant."
