po_date,outlet_state,outlet_city,item_cat_l1,item_cat_l2,item_cat_l3,item_cat_l4,item_cat_l5,su_brand,brand,product_id,product_title,unit,quantity,price_inr,tax_pct,subtotal_amount_inr,tax_amount_inr,total_amount_inr,su_item_short_code,rn
2026-02-03 00:00:00.000 +0530,Maharashtra,Greater Mumbai,Fresh Produce,Fruits & Vegetables,Vegetables,Beans,Haricot Beans,Harpic,UNBRANDED,6399a82a5786fcebbbb3cdd4,HARPIC,piece,2,78,0.18,156,28.08,184.08,CNUAAAIAAA,1
2026-03-28 00:00:00.000 +0530,Uttar Pradesh,Noida,Ready to Eat,Ready to Eat Rice,Kesari Bhat,,,,Ksheer Sagar,691c27e89700c0e1c1f4ee00,BANARASI LAL PEDA-200 Gms,piece,25,106.43,0.05,2660.75,133.04,2793.79,BBZAAMSAAA,1
2026-03-23 00:00:00.000 +0530,Tamil Nadu,Chennai,Groceries,Spices,,,,Unbranded,Unbranded,6879e82d42bbf0f44c31345f,"Sakthi - Kulambu Chilli powder, 500gm",piece,5,120,0.05,600,30,630,AGCAAAIAAA,1
2026-01-08 00:00:00.000 +0530,Haryana,Gurugram,Groceries,Spices,Whole Spices,,,Unbranded,unbranded,6539ff1ec2dc4d02ba4ee68b,EASTMADE - CUMIN (JEERA) 1 KG,kg,0,268,0.05,0,0,0,AFWAAAIAAA,1
2026-01-28 00:00:00.000 +0530,Jharkhand,Jamshedpur,"Poultry, Meat & Seafood",Chicken,,,,Unbranded,Unbranded,662f535d107c1c937d6142f7,Chicken Curry Cut,kg,15,195,0,2925,0,2925,ASIAAAIAAE,1
2026-02-04 00:00:00.000 +0530,Karnataka,Bengaluru,Groceries,Fruits & Vegetables,Fruits,,,,SHRI VARALAKSHMI,65eedae21f6f494975fb5d56,SABUDANA NYLON,kg,30,81.2,0.05,2436,121.8,2557.8,CAAAAAIAAA,1
2026-03-30 17:55:10.598 +0530,Gujarat,Ahmedabad,Grocery,"Masala, Salt, Sugar & Spices",Seasoning,Oregano Seasoning,,,Zomato HyperPure,63a15b669d58684839f09b6e,Tawa Roti (7 inch),piece,800,3.45,0,2760,0,2760,AHYAADTAAA,1
2026-04-27 00:00:00.000 +0530,West Bengal,Kolkata,Groceries,Spices,Whole Spices,Kashmiri Mirch,,Unbranded,Unbranded,5d6e355d0789017f237244fe,Kashmiri Mirch Powder,kg,1,859,0.05,859,42.95,901.95,AHCAAAIAAA,1
2026-02-02 00:00:00.000 +0530,Tamil Nadu,Chennai,Grocery,Pulse,Black Chickpeas (Kala Chana),,,Unbranded,Unbrand,64199484cd0a52206cec65d3,Chana Black,kg,2,96,0,192,0,192,AKRAAAIAAD,1
2026-03-05 00:00:00.000 +0530,Karnataka,Bengaluru,Grocery,Flour,All Purpose Flour,,,Unbranded,Unbranded,661a482196b7f5d48dd3ce7d,ROW - Barcode Lable 50mmX25mm Non Tearable,piece,70,68,0.18,4760,856.8,5616.8,AETAAAIAAB,1
2026-01-19 00:00:00.000 +0530,Kerala,Kochi,Breads & Bakery,Chocolate & Cocoa,Chocolate,WAFFLE STICK,,,Unbranded,65ea9cb78d2194dbd7baab2d,Silken Tofu 300g Voila,piece,2,164.76,0.05,329.52,16.48,346,COMJAAIAAA,1
2026-02-27 00:00:00.000 +0530,Delhi,New Delhi,Grocery,Pulse,Whole Black Lentil (Kali Masoor Dal),,,Monin,MINUS 30,66546dbf93fdef3dd0229d82,Softy Premix Vanilla,kg,1,250,0.05,250,12.5,262.5,ALOAAIEAAA,1
2026-03-09 00:00:00.000 +0530,Karnataka,Bengaluru,Grocery,Pulse,Black Gram (Urad Dal),,,Unbranded,unbranded,65c0d0c47e75e86fb44474fc,T Shirt Black NM M38,piece,30,350,0.05,10500,525,11025,AKUAAAIAAA,1
2026-04-13 00:00:00.000 +0530,Rajasthan,Jaipur,#SPILL!,,,,,Unbranded,Unbranded,5fdb396b5ba9be4b584eeaff,Papad ( Big),packet,2,105,0,210,0,210,CNVKAAIAAA,1
2026-03-19 00:00:00.000 +0530,Haryana,Gurugram,Fresh Produce,Fruits & Vegetables,Vegetables,Fruiting Vegetables,Bottle Gourd,Unbranded,Unbranded,61f7aa64a3342e1c94a94b5f,ROOH AFZA,bottle,1,150,0,150,0,150,CASAAAIAAA,1
2026-01-07 00:00:00.000 +0530,Kerala,Kochi,Breads & Bakery,Mix,Breading Mix,,,Food Basket,unbrand,63cfa1d0d8bc5df67386ab93,Crispy Cajun Breading Mix,kg,1,382,0.05,382,19.1,401.1,ABKAADTAAA,1
2026-04-21 00:00:00.000 +0530,Tamil Nadu,Chennai,Housekeeping,Cleaner,,,,Unbranded,Unbranded,68844c1548a3125416d7aeee,Taski Suma Ultra (L2) 5L Can,piece,1,3500,0.18,3500,630,4130,AOVAAAIAAA,1
2026-02-20 00:00:00.000 +0530,Maharashtra,Vasai-Virar,"Poultry, Meat & Seafood",Egg,,,,Eggs,unbranded,67d27ee219e01b2aa22c1c6c,Eggs,piece,30,6,0,180,0,180,ASNAALNAAA,1
2026-04-18 00:00:00.000 +0530,Haryana,Gurugram,Packaging,Cutlery Set,,,,Unbranded,unbranded,66c85fdda9ce8204519f922d,Cutlery Set The Cake Story,piece,12200,3.5,0.18,42700,7686,50386,BKNAAMTAAA,1
2026-04-24 00:00:00.000 +0530,Karnataka,Bengaluru,Kitchen Equipments,Plastic Storage Container,,,,,unbranded,65c0d0c67e75e86fb4447ab6,Plastic Storage Container 500ml,piece,12,85,0.18,1020,183.6,1203.6,CNSXATEBAH,1
2026-02-10 05:30:00.000 +0530,London,London,Grocery,"Sauce, Spread, Dips & Vinegar",Ketchup,,,Catch,,6176af112746fe3c6ff27ed0,Ketchup,l,4.5,1.443,0,6.49,0,6.49,AMOAAEEAAA,1
2026-01-12 00:00:00.000 +0530,Maharashtra,Mumbai,Packaging,Box,Sandwich Box,,,,OUTLET,658eafb74155c07e2ec5f867,GK-NY Pan Cake Sp Pkg Box 1PKT 100PC GK Dry 137497,packet,1,330,0.05,330,16.5,346.5,ARFAAAIAAA,1
2026-02-25 00:00:00.000 +0530,Karnataka,Bengaluru,Packaging,Butter Paper,,,,Unbranded,Unbranded,690af42746ecf728ea314a04,Korean LTO Menu,piece,20,76,0.18,1520,273.6,1793.6,ARJAAAIAAE,1
2026-01-14 00:00:00.000 +0530,Maharashtra,Mumbai,Others,,,,,,OUTLET,6662ba76f2915de3c3aabc9c,Malaysian Noodles ( Flat Noodles ) 1kg,kg,1,70,0,70,0,70,AJRAAAIAAA,1
2026-02-25 00:00:00.000 +0530,Telangana,Hyderabad,Packaging,Tape,,,,Unbranded,unbranded,64256b24984c5126dfb58e74,Note Pad 3x3,packet,24,15,0.18,360,64.8,424.8,AAIAASFAAA,1
2026-03-29 00:00:00.000 +0530,Haryana,Gurugram,Housekeeping,Cleaner,Drain Cleaner,,,Unbranded,Unbranded,6791f3359df440b5cea61883,Sumabrite Degreaser nd Heavy duty cleaner (break up HD),piece,4,1052.5,0.18,2315.5,416.79,2732.29,AOSAAAIAAA,1
2026-01-18 00:00:00.000 +0530,Haryana,Gurgaon,Grocery,Pulse,Split Red Lentil (Red Masoor Dal),,,Rajdhani,unbranded,60c4455aa4c315102ec5b571,Red Malka (Lal Masoor) Rajdhani,kg,120,81,0.05,9720,486,10206,ALNAAEGAAC,1
2026-02-01 00:00:00.000 +0530,Goa,Panaji,Packaging,Bag,Pouch,,,Unbranded,unbranded,66c84ceacda2b0403c3f22cd,Silver Pouch 6*8,packet,2,63.5,0.18,127,22.86,149.86,ARXAAAIAAA,1
2026-02-03 00:00:00.000 +0530,Haryana,Gurugram,Groceries,Staples,Flour,,,Aashirvaad,AASHIRVAAD,6539ff1ec2dc4d02ba4ee49f,AASHIRVAAD - ATTA 10 KG BAG,bag,3,442.86,0.05,1328.58,66.43,1395.01,AFFAAADAAA,1
2026-04-18 00:00:00.000 +0530,Goa,Panaji,Housekeeping,Bottle Brush,,,,Unbranded,unbranded,66c84ce7cda2b0403c3f15b3,Triplesec,bottle,1,480,0,480,0,480,AONAAAIAAA,1
2026-01-20 00:00:00.000 +0530,Haryana,Gurugram,Dairy,Khoya,,,,Unbranded,Unbranded,68aea7e8065d845ce82b9f6a,Shudh Garhwal - Khoya Pindi 1KG,kg,3,373,0.05,1119,55.95,1174.95,ADEAAAIAAA,1
2026-04-01 00:00:00.000 +0530,Maharashtra,Mumbai,Grocery,"Masala, Salt, Sugar & Spices",Sugar,Sugar 0% Chocolate,,Fun Foods,unbranded,68f86b6ac80eaa745e15c364,#_# Chocolate Fudge Overload (NAS) 500 ml - Frozen Fun,piece,7,1,0,7,0,7,BVUAAMVAAA,1
2026-04-10 00:00:00.000 +0530,Maharashtra,Mumbai,Grocery,"Masala, Salt, Sugar & Spices",Seasoning,Hyderabadi Biryani Seasoning,,Unbranded,Unbranded,691b15c4de622a60435656e6,Prepit Hyderabad Biriyan 1 kg,kg,18,390,0.05,7020,351,7371,BYPAAOCAAA,1
2026-03-05 00:00:00.000 +0530,Karnataka,Bengaluru,Packaging,Jar,,,,Unbranded,Unbranded,685fe05424ce0efbaa0ac09d,PLASTIC CONTAINER-150ML,piece,18000,0.56,0.18,10080,1814.4,11894.4,ARTAAAIAAA,1
2026-01-19 00:00:00.000 +0530,Haryana,Faridabad,Packaging,Foil,,,,Unbranded,Unbranded,5d6e3668f4b2e6bb2411e95c,COLOUR CODE DOTT TUES,piece,20000,0.025,0.18,500,90,590,ARRAAAIAAA,1
2026-04-20 00:00:00.000 +0530,Kerala,Kochi,Grocery,Pulse,Split Red Lentil (Red Masoor Dal),,,Unbranded,unbranded,65c0d0b67e75e86fb444640a,Red Chili Paste 1kg pkt,packet,10,295,0.05,2950,147.5,3097.5,ALNAAAIAAB,1
2026-04-24 00:00:00.000 +0530,Goa,Panaji,,,,,,Unbranded,unbranded,66c84ce8cda2b0403c3f1927,Sweetpotato (Kanga),kg,0.5,100,0,50,0,50,NONEAAIAAE,1
2026-04-20 00:00:00.000 +0530,Karnataka,Bengaluru,Breads & Bakery,Hazelnut Kernels,,,,Unbranded,WVF,67c02b52006e15b6e98e03cb,STICKERS WVF COLD VARAVRAGE - THINK ORIGINS HAZELNUT COLD FILTER COFFEE FSSAI,piece,2100,3.5,0.18,7350,1323,8673,CNTHAAIAAA,1
2026-03-04 00:00:00.000 +0530,Maharashtra,Thane,Packaging,Bag,,,,Unbranded,Unbranded,602fba3663525d4b84a5d7af,AANCH COVER,piece,500,0.88,0.18,440,79.2,519.2,AQYAAAIAAA,1
2026-04-07 00:00:00.000 +0530,Karnataka,Bengaluru,Beverages,Masala Shikanji,,,,Unbranded,Unbranded,65d0a6574b2792afe2810396,Dalchini,kg,2.5,444,0.05,1110,55.5,1165.5,AGJAAAIAAA,1
2026-01-29 00:00:00.000 +0530,Goa,Panaji,Fresh Produce,Edible flower,,,,Unbranded,unbranded,66c84ce7cda2b0403c3f1461,Stone Flower(Dagad Phool),kg,0.1,600,0.05,60,3,63,CNVHAAIAAA,1
2026-01-17 00:00:00.000 +0530,Karnataka,Bengaluru,Others,Fruits & Vegetables,Vegetables,,,Unbranded,Unbranded,688c8933fc590c44017a9057,Sambal Oelek,kg,2,167.775,0,335.55,0,335.55,CBXAAAIAAA,1
2026-02-28 00:00:00.000 +0530,Haryana,Gurugram,Dairy,Paneer,,,,Unbranded,Unbranded,6704b935498d396a87a007e0,Tandoori paneer tikka,kg,1,413,0.05,413,20.65,433.65,ADDAAAIAAC,1
