title,brand,old_pred,old_conf,new_pred,new_conf,conf_delta,pred_changed,escaped_grey,verifier_token,new_reasoning,error
BANARASI LAL PEDA-200 Gms,Ksheer Sagar,branded,0.4494,unbranded,0.9879,0.5385,True,True,Yes,"""Banarasi Lal Peda"" describes a regional style of the traditional Indian sweet (peda from Banaras/Varanasi), not a specific manufacturer or brand name.",
ROW - Barcode Lable 50mmX25mm Non Tearable,Unbranded,branded,0.0981,unbranded,0.9997,0.9016,True,True,Yes,"ROW appears to be an internal code or abbreviation, and the rest of the title only describes the product's type, size, and material properties.",
Softy Premix Vanilla,MINUS 30,branded,0.5,unbranded,1.0,0.5,True,True,Yes,The title describes a type of premix product with a vanilla flavor; 'Softy' appears to be a descriptive term for soft-serve rather than a recognizable manufacturer or company name.,
Crispy Cajun Breading Mix,unbrand,branded,0.7879,unbranded,1.0,0.2121,True,True,Yes,"The title only describes the product's texture, flavor, and type without naming any manufacturer or company.",
Cutlery Set The Cake Story,unbranded,branded,0.7905,branded,0.291,-0.4995,False,False,No,'The Cake Story' appears to be a brand name identifying the maker of the cutlery set.,
Triplesec,unbranded,branded,0.7663,unbranded,1.0,0.2337,True,True,Yes,"Triple sec is a generic orange-flavored liqueur/ingredient name, not a specific manufacturer or brand.",
COLOUR CODE DOTT TUES,Unbranded,branded,0.0331,unbranded,1.0,0.9669,True,True,Yes,"The title appears to be a descriptive internal code or abbreviated label (colour code, dot, Tuesday) with no identifiable manufacturer or brand name.",
AANCH COVER,Unbranded,branded,0.1689,unbranded,0.999,0.8301,True,True,Yes,"The title appears to describe a functional cover item, with 'AANCH' not being a recognizable manufacturer or company name.",
Sambal Oelek,Unbranded,branded,0.1711,unbranded,0.9998,0.8287,True,True,Yes,"Sambal Oelek is a type of chili paste/condiment describing what the item is, not a manufacturer or brand name.",
MF White Compound CO W33,Unbranded,branded,0.7372,unbranded,1.0,0.2628,True,True,Yes,"The title appears to be a descriptive product code with material type (White Compound) and an internal code (CO W33), with no recognizable manufacturer name.",
Kobij-Cabbage,unbranded,unbranded,0.2975,unbranded,1.0,0.7025,False,True,Yes,"The title appears to be a descriptive name for a cabbage variety or type, with no recognizable manufacturer or company name.",
SS Mould Round Cutter - 12pcs,Unbranded,branded,0.0009,unbranded,1.0,0.9991,True,True,Yes,"The title only describes the item (stainless steel mould round cutter, 12-piece set) without naming a real manufacturer or company.",
Ro 48,Unbranded,branded,0.026,unbranded,1.0,0.974,True,True,Yes,The title appears to be an internal code or size/model descriptor and does not identify a recognizable manufacturer or company name.,
#_# Caramelo Banditos Sticker - Cookie Cartel,Unbranded,branded,0.7905,branded,0.0045,-0.786,False,False,No,"The title references 'Cookie Cartel,' which identifies a real maker or brand producing this sticker product.",
SS  NOODAL CHANNI,Unbranded,branded,0.0004,unbranded,1.0,0.9996,True,True,Yes,"The title describes a stainless steel noodle strainer/colander by material and function, with no identifiable maker or brand name.",
STICKER SHEEK KABAB,Unbranded,branded,0.0041,unbranded,1.0,0.9959,True,True,Yes,The title describes a sticker product related to 'sheek kabab' (a type of kebab) without naming any recognizable manufacturer or company.,
Unbranded Spray Gun,unbranded,unbranded,0.6225,unbranded,1.0,0.3775,False,True,Yes,The title explicitly states 'Unbranded' and only describes the item type (spray gun) without naming a manufacturer.,
Kung Pao Sauce 335 G,Unbranded,branded,0.0357,unbranded,1.0,0.9643,True,True,Yes,"The title only describes a type of sauce (Kung Pao) and its weight, with no manufacturer or company name present.",
#_# Big Blue Box - Sweetish,unbranded,branded,0.7249,unbranded,1.0,0.2751,True,True,Yes,"The title only describes the item's size, color, container type, and flavor characteristic without naming a real manufacturer or company.",
