entity,label,p_cec,conflict,p_maker,p_generic_use,p_alt_meaning,n_titles,n_categories,slots,example_title,p_recognized,gated
possmei,branded,1.0,False,1.0,0.0,0.0,2,2,prefix,Possmei Taro Powder Premix 1kg pkt,,False
entisi,branded,1.0,False,1.0,0.0,0.0,3,3,inline,#_# Plain Milk Chocolate Bar 41% [65 g] - Entisi Chocolatier,,False
knorr,branded,1.0,False,1.0,0.0,0.0,2,2,inline|prefix,Chicken Broth Powder Knorr,,False
mdh,branded,1.0,False,1.0,0.0,0.0,9,6,allcaps|inline|prefix,MDH Chana Masala,,False
sassyteaspoon,branded,1.0,False,1.0,0.0,0.0,5,5,suffix,#_# Greeting Card - Sassy Teaspoon,,False
cambro,branded,1.0,False,1.0,0.0,0.0,2,1,prefix,Cambro Polycarbonate GN Pan 1/2 200mm,1.0,False
kimirica,branded,1.0,False,1.0,0.0,0.0,1,1,prefix,Kimirica White Gold Tooth Brush pack,0.8559,False
entisichocolatier,branded,1.0,False,1.0,0.0,0.0,3,2,suffix,#_# Plain Milk Chocolate Bar 41% [65 g] - Entisi Chocolatier,,False
monin,branded,1.0,False,1.0,0.0,0.0,6,3,prefix,Monin Peach flavour,,False
taski,branded,1.0,False,1.0,0.0,0.0,5,1,prefix,Taski Suma Ultra (L2) 5L Can,,False
meemees,branded,1.0,False,1.0,0.0,0.0,3,2,suffix,#_# Rocky Road Ice-cream Tub (100ml) - Meemees,,False
godrej,branded,1.0,False,1.0,0.0,0.0,1,1,inline,Air Freshener Godrej,1.0,False
mapro,branded,1.0,False,1.0,0.0,0.0,2,2,prefix,MAPRO BLACK CURRANT 1 LTR,,False
weikfield,branded,1.0,False,1.0,0.0,0.0,1,0,inline,Corn Flour Weikfield,0.9987,False
cothas,branded,1.0,False,1.0,0.0,0.0,1,1,prefix,#_# Cothas Blend Coffee 200 Gm - Murukku,0.9864,False
hoegaarden,branded,1.0,False,1.0,0.0,0.0,2,1,prefix,Hoegaarden Belgian Blanche,1.0,False
hitachi,branded,1.0,False,1.0,0.0,0.0,1,1,inline,TL Hitachi UX Makeup 800ml,1.0,False
budweiser,branded,1.0,False,1.0,0.0,0.0,2,0,prefix,Budweiser Premium,1.0,False
tastecraft,branded,0.8,False,1.0,0.0,0.0,1,1,prefix,Tastecraft Pistachio Flavoured Syrup 750ml,0.0011,True
