confidence,verifier_token,pred_brand,brand,title,stage1_reasoning
0.0,No,branded,Unbranded,FRENCH HEARTS VINYL STICKER SET,FRENCH HEARTS appears to be a specific brand name for this vinyl sticker product line.
0.0001,No,branded,Unbranded,SS GN PAN 1/3 100 MM,"SS GN PAN appears to be a branded product line, likely referring to a specific manufacturer's stainless steel gastronorm pan."
0.0001,No,branded,Unbranded,Boba Lychee can,Boba is a specific brand name associated with this canned lychee product.
0.0001,No,branded,Unbranded,Truffle Paste (500gm Pack),Truffle Paste appears to be a specific packaged product sold under the 'Truffle' brand name with a defined pack size.
0.0001,No,unbranded,unbranded,BLACK PAPER,Black pepper is a generic commodity spice with no specific brand name mentioned.
0.0002,No,branded,Unbranded,N20 Whipped Cream Chargers,N20 appears to be a specific brand name for whipped cream chargers rather than a generic commodity product.
0.0003,No,branded,unbranded,Cake Saver,'Cake Saver' appears to be a branded product name for a specific kitchen storage or food preservation item.
0.0003,No,branded,unbranded,Bandan Cap,'Bandan' appears to be a specific brand name for this cap product.
0.0004,No,branded,Unbranded,SS  NOODAL CHANNI,SS appears to be a brand name for this noodle strainer/channi kitchen utensil product.
0.0005,No,branded,unbranded,Cmc Powder,CMC (Carboxymethyl Cellulose) Powder appears to be sold under the 'CMC' brand label rather than as a generic commodity item.
0.0005,No,branded,Unbranded,Danish White Feta 500GM,"Danish is a brand name associated with dairy products, making this a branded feta cheese product."
0.0009,No,branded,Unbranded,SS Mould Round Cutter - 12pcs,The 'SS' prefix appears to be a brand identifier for this set of round cutters.
0.001,No,branded,Unbranded,Pizza Platter Butter Paper 16*9,Pizza Platter appears to be a specific brand name for this butter paper product.
0.0012,No,branded,unbranded,#_# Gate Pass Book,The '#_#' prefix suggests a specific brand or publisher label associated with this Gate Pass Book product.
0.0014,No,branded,Unbranded,Aampanna juice 150ml,Aampanna is a specific brand name for this packaged juice product.
0.0015,No,branded,Unbranded,XO Sauce Sticker,XO Sauce is a specific branded condiment product with a recognizable brand identity.
0.0015,No,branded,Krispy Kreme,Newyork Cheese Filling,Newyork is a specific brand name used to identify this cheese filling product.
0.002,No,branded,unbranded,TORCH BLOW COOKING,TORCH BLOW COOKING refers to a specific branded culinary torch product sold under the 'Torch Blow' brand name.
0.0027,No,branded,Unbranded,COKE CANE,Coke is a well-known brand (Coca-Cola) and 'Coke Cane' refers to a canned Coca-Cola product.
0.0038,No,branded,ME,Millet Dosa Batter - ME,The 'ME' suffix indicates a specific brand name associated with this millet dosa batter product.
