title,label,brandname,conf_phase1,conf_phase2,verdict,status,flags,opus_label,web_findings
#_# Big Blue Box - Sweetish,Branded,Big Blue Box,0.7189,0.0,D,review,likely_wrong,Branded,"Here’s what I found regarding the name ""Big Blue Box"" in the Indian context: - There is an Indian company named **Big Box International Pvt. Ltd.**, registered in New Delhi, offering e‑commerce solutions with offices in Delhi, Ghaziabad, and Gurugram ([bigboxcorp.com](https://bigboxcorp.com/home/?utm_source=openai)). Although the name differs slightly (""Big Box"" versus ""Big Blue Box""), it is a close match and should be reported. - I did not find any Indian company, seller, or trademark listing exactly named **""Big Blue Box.""** No relevant brand/trademark registration under that exact name appeared in publicly available listings. - I also checked for variants or possibilities of confusion with known marks like “Blue Box” in trademark databases; while “Blue Box” appears in unrelated international contexts (e.g. US tooling/trademark matters), nothing appeared tied to India under that name ("
Q-com Teacake Blister Tray,Branded,Q-com,0.8349,0.0,D,review,likely_wrong,Branded,"I found one company in India registered under the name **Q Com Private Limited**, incorporated on March 10, 2000, based in Bangalore, Karnataka (No. 43, Kasturba Road Cross, Bangalore‑560001), classified in data‑processing services; the company is currently **struck‑off**. ([zaubacorp.com](https://www.zaubacorp.com/Q-COM-PRIVATE-LIMITED-U72300KA2000PTC026571?utm_source=openai)) No other seller, bakery, food‑service, D2C label, or FMCG business using the exact name ""Q‑com"" appeared in publicly indexed sources related to food, packaging, or online marketplaces. Therefore: the only real entity matching that name is the defunct data‑processing Q Com Private Limited in Bangalore; no active food‑related or seller uses “Q‑com” as a brand or marketplace listing could be located on the web."
HOLLO MAT3125*5,Branded,HOLLO,0.7146,0.0,D,review,likely_wrong,Branded,"I conducted web searches for the term **“HOLLO”** in the context of an Indian B2B grocery or food‑service catalog. Here’s what I found: • **HOLLO ELLO INDIA PRIVATE LIMITED** – a legitimate private wholesale company registered in Delhi under CIN U51909DL2019PTC356442. Its business classification (NIC 5190) pertains to generalized wholesale trading of various goods. Directors: Ajit Notwani and Amit Sharma; based in JJ Colony, Wazirpur, Delhi. ([zaubacorp.com](https://www.zaubacorp.com/HOLLO-ELLO-INDIA-PRIVATE-LIMITED-U51909DL2019PTC356442?utm_source=openai)) • **Trademark record “H HOLLO”** filed in Class 25 (apparel) by an individual in Kerala in 2014; expired and unrelated to food. ([indiafilings.com](https://www.indiafilings.com/search/h-hollo-tm-2850877?utm_source=openai)) No evidence emerged linking a company named **“HOLLO”** to food, groceries, cloud kitchens, bakeries, or food ser"
UH ZUCCHINI GREENSMALL DICE1 KG / BAG,Branded,UH,0.769,0.0,D,review,likely_wrong,Branded,"I was able to find no evidence of any Indian brand, company, or seller named simply “UH” operating in the grocery or food-service space. Searches did not reveal a relevant business entity, marketplace listing, or trademark in India under the name ""UH"" with that focus. The only significant instances of “UH” I located include: • A U.S. trademark “UH” registered by the University of Houston System for merchandise (not food) ([trademarks.justia.com](https://trademarks.justia.com/767/10/uh-76710786.html?utm_source=openai)). • The company UHPC India Pvt. Ltd., a deep‑tech manufacturer of ultra-high-performance concrete based in Mumbai—obviously unrelated to food or groceries ([uhpcindia.com](https://uhpcindia.com/?utm_source=openai)). Therefore, while ""UH"" does correspond to these legitimate entities, none are connected to Indian food-service, groceries, or produce such as zucchini. If there's"
EVD DAIRY WHITENER 1 KG,Branded,EVD,0.8455,0.0,D,review,likely_wrong,Branded,"I searched the web for ""EVD"" in relation to “EVD Dairy Whitener 1 kg” or similar dairy/food-service brands in India. I did not find any company, brand, or seller operating in India under the name EVD associated with dairy whiteners or food products. The only relevant Indian “EVD” appeared to be ""EVD Technology,"" a web and mobile development company based in Raipur, Chhattisgarh—unrelated to dairy or food products ([evdtechnology.com](https://www.evdtechnology.com/about?utm_source=openai)). I also explored alternative interpretations of the ""EVD"" label. No matching trademark, seller listing, or registered food brand by the name “EVD” was discovered in India. Based solely on this search, while “EVD” does correspond to a real company (in tech), there is no evidence linking it to food or dairy products."
Zukni Green,Branded,Zukni,0.8114,0.0,D,review,likely_wrong,Branded,"Here is what I found regarding the name **“Zukni”** in the context you provided: A Shopify‑based Indian e‑commerce site “**Zukni**” (domain: zukni.in) exists, presenting itself as a jewellery brand established in 2026. It offers products such as glass bangle sets and is hosted under a Shopify account, with contact email zukniindia@gmail.com ([merchantgenius.io](https://www.merchantgenius.io/shop/url/zukni.in?utm_source=openai)). In addition, there is a registered **trademark “Zukni”** (device mark) under registration number 4454117, filed on February 26, 2020 and registered in India. The proprietor is **Conquer Mark**, a partnership firm located in Palakkad, Kerala, and the mark covers wholesale, retail and online sale of clothing and fabrics (Class 35) ([quickcompany.in](https://www.quickcompany.in/trademarks/4454117-zukni?utm_source=openai)). No other companies, marketplaces, or seller"
SP Thundercrush French Fries 9mm,Branded,Thundercrush,0.8371,0.0,D,review,likely_wrong,Branded,"I conducted web searches for the name **“Thundercrush”** (and variations) as related to Indian brands, companies, or sellers: • I found no evidence of any Indian company, brand, seller, or entity explicitly using the name “Thundercrush” in any product line, business registration, or marketplace listing—trademarks or seller listings—for food items or frozen goods. • A closely named **“Thunder Crunch”** appears in multiple food-service catalogs (notably by J.R. Simplot Company) as a product line for frozen French fries, with variants like “Thunder Crunch 3/8″ straight‑cut fries” ([performancefoodservice.com](https://www.performancefoodservice.com/-/media/PFS/Files/Publications/Atlanta/ProductGuide_1-27-25.pdf?utm_source=openai)). However, **“Thundercrush”** (with an “‐crush”) does not appear. • I also located **Thunder Crisp Private Limited**, a registered Indian private company (incorpora"
Dollur Amla Jar,Branded,Dollur,0.8484,0.0,D,review,likely_wrong,Branded,"I found evidence of the name **Dollur** (close variant) across multiple sources: - A **trademark application** for “DOLLOR” in India (Class 21—kitchen utensils, containers, etc.), filed by Subhash Chander Garg in Chandigarh/Delhi; the status is **Abandoned** as of May 23, 2026 ([indiafilings.com](https://www.indiafilings.com/search/dollor-tm-770717?utm_source=openai)). - A **registered trademark** “DOLLOR” in the United States, owned by **Zhejiang Dollor Sewing Machine Co., Ltd.**, covering machinery products like sewing and embroidery machines; registration completed March 26, 2024 ([trademarkelite.com](https://www.trademarkelite.com/trademark/trademark-detail/79348805/DOLLOR?utm_source=openai)). - A **longstanding Indian usage dispute** over the mark “DOLLOR” (class 25—hosiery, socks), involving R.G. Oswal Hosiery Industries (and licensee Kedia Knitwear) as registered proprietors since"
Nam Shop Sticker   Prawn Crackers Large,Branded,Nam Shop,0.822,0.0,D,review,likely_wrong,Branded,"I researched the name **Nam Shop** in the context of India and found no evidence of a distinct company, brand, cloud kitchen, or seller by that name operating in India. However, I did find a company listed as **“Hoang Nam shop”** appearing in the audited financial statements of KCP Vietnam Industries Limited, where “Hoang Nam shop” is mentioned as a supplier with payable amount ₹9,473 (Vietnam) ([kcp.co.in](https://www.kcp.co.in/downloads/financial-results/VietnamKCPResults19.pdf?utm_source=openai)). Additionally, there is an active e‑commerce site **namoshop.in**, representing *NAMOSHIVAI Apparels Private Limited*, based in Nangli Sakrawati, Najafgarh, New Delhi, which appears to be unrelated in spelling and business category (apparel goods) ([namoshop.in](https://www.namoshop.in/?utm_source=openai)). In summary: two companies with similar names—but different regions and businesses—were"
Triplesec,Branded,Triplesec,0.75,0.0,D,review,likely_wrong,Branded,"I searched for “Triplesec” as a potential brand or seller in the Indian B2B grocery/food-service space. I found the following: - A registered trademark in India named **TresSec** (stylized as “TresSec (Logo)”), filed on September 8, 2021, in class 5 (sanitary pads), with proprietor PRADEEP KUMAR SHARMA based in Mumbai, Maharashtra ([indiafilings.com](https://www.indiafilings.com/search/tressec-logo-tm-5123341?utm_source=openai)). - “Triplesec” also appears as part of a cultivar name “Panchadara Kalassa Seacrest/Triplesec,” listed within a mango varieties listing, referencing a hybrid or cultivar origin (India–Florida, USA) ([tropicalacresfarms.com](https://www.tropicalacresfarms.com/_files/ugd/9c9af8_4272686ce3364d649e876b6576ce8d1e.pdf?utm_source=openai)). No evidence emerged of an Indian food‑service/grocery business or brand in India directly named “Triplesec.”"
Ciclo Printed Cake Box 2Pc,Branded,Ciclo,0.8482,0.0,D,review,likely_wrong,Branded,"I searched for the name **“Ciclo”** in the context of Indian brands or sellers related to food packaging or grocery services and found the following: • A trademark **CICLO** (all uppercase) is registered in the United States by **Intrinsic Advanced Materials, LLC**, based in Gastonia, North Carolina. It covers fabrics and was first used in commerce in April 2017, with registration granted in June 2020 ([trademarkia.com](https://www.trademarkia.com/ciclo-88454106?utm_source=openai)). This appears unrelated to food-service or Indian goods. • In India, a trademark application for **“Ciclo Cafe”** exists in Class 43 (restaurant/café services), registered to **Tiam Foods Private Limited** in Chennai; it remains valid through at least 2035 ([quickcompany.in](https://www.quickcompany.in/trademarks/2889158-ciclo-cafe?utm_source=openai)). The name “Ciclo Cafe” is associated with a cycle-themed ca"
SAMSEER MARK,Branded,Samseer,0.7812,0.0,D,review,likely_wrong,Branded,"I found no evidence of a company, brand, or seller named “Samseer” in the Indian food-service or B2B grocery space tied to that exact name. No trademark results are apparent under “Samseer” in publicly indexed sources ([tmpublicsearch.com](https://tmpublicsearch.com/?utm_source=openai)). The only instances of “Samseer” correspond to non-commercial contexts—an artist name on Amazon Music ([music.amazon.in](https://music.amazon.in/artists/B0FR242Y2H/samseer?utm_source=openai)), and personal names in academic or legal documents ([sci-cult.net](https://sci-cult.net/index.php/cult/article/download/185/414/6815?utm_source=openai)). Thus, while I cannot confirm a commercial food or grocery brand by that name, I can confirm its existence in other domains."
SLEEVES 750 ML BAGASSE CATERSPOINT,Branded,CatersPoint,0.8463,0.0,D,review,likely_wrong,Branded,"Here’s what the web search reveals about “CatersPoint” as a brand, company, or seller: • A private company—Caterspoint Foods & Beverages Private Limited—exists in Gurugram (Gurgaon), Haryana, India. It was incorporated on August 30, 2017, has CIN U74995HR2017PTC070569, and lists Anshu Raj and Ajay Thakur as directors. It operates in the food and beverages sector ([tofler.in](https://www.tofler.in/caterspoint-foods-and-beverages-private-limited/company/U74995HR2017PTC070569?utm_source=openai)). • Caterspoint is a food‑service or cloud‑kitchen brand delivering healthy, handcrafted meals, salads, sandwiches, etc., across Delhi‑NCR and other Indian cities. It was founded in 2016/2017 by Anshu Raj, headquartered in Gurgaon, and serves both B2C and B2B customers ([yourstory.com](https://yourstory.com/companies/caterspoint?utm_source=openai)). • Online listings (LinkedIn, FreeListing) confirm C"
