title,sonnet_label,conf_4o_mini,conf_4o,opus_label
Prepit Hyderabad Biriyan 1 kg,Branded,0.0,0.005,Branded
#_# Big Blue Box - Sweetish,Branded,0.0,0.0,Branded
Dollur Amla Jar,Branded,0.0,0.0003,Branded
EVD DAIRY WHITENER 1 KG,Branded,0.0,0.0001,Branded
Dhania Pudina Chutney-SNACC,Branded,0.0,0.0157,Branded
UH ZUCCHINI GREENSMALL DICE1 KG / BAG,Branded,0.0,0.0001,Branded
#_# Greeting Card - Sassy Teaspoon,Branded,0.0,0.0006,Branded
Triplesec,Branded,0.0,0.0006,Branded
Kcco Tray Big,Branded,0.0,0.0002,Branded
Texmex cheese sauce,Branded,0.0,0.9372,Branded
HOLLO MAT3125*5,Branded,0.0,0.0,Branded
#_# Frozen OG Chocolate Chip Chonker - Chonkers,Branded,0.0,0.0004,Branded
San Marzano - Pomace Olive Oil,Branded,0.0,0.0069,Branded
SAMSEER MARK,Branded,0.0,0.15,Branded
Gulab Jamun (Wyn),Branded,0.0,0.0007,Branded
#_# Sakura Blossom Gateaux (125 Gms) - Ether,Branded,0.0,0.0058,Branded
#_# Cacao Crispy - Ether,Branded,0.0,0.0005,Branded
Sargvo-Drumsticks,Branded,0.0,0.0003,Branded
TL Hitachi UX Makeup 800ml,Branded,0.0,0.4263,Branded
Tea flask - 250 ML -Outer coorugated Box-Snacc,Branded,0.0,0.0001,Branded
TG-Party Snacks 35G Pouch,Branded,0.0,0.0,Branded
#_# Baked Oregano Cheese Matthi - Genda Phool,Branded,0.0,0.0006,Branded
Quarry And Tile Floor Cleaner (120X2Oz),Branded,0.0,0.0009,Branded
Chilled Chicken Thigh Boneless 1 kg (Rsons),Branded,0.0,0.6442,Branded
Timmys Food Bag,Branded,0.0,0.0001,Branded
CARNATTION MILK  405 GM ( EVAPORATED MILK ),Branded,0.0,1.0,Branded
TOP COVER OF BOX 750 ML SALADSPOINT,Branded,0.0,0.0002,Branded
2 Cp-Snacc,Branded,0.0,0.0,Branded
QT Rail,Branded,0.0,0.0,Branded
Kiley Soda 250 ML - SNACC,Branded,0.0,0.0007,Branded
Chicken Tikka filling-Snacc,Branded,0.0,0.0001,Branded
Outer Bag SOS 70 GSM - Snacc,Branded,0.0,0.0001,Branded
Twinning Lemon Tea,Branded,0.0,0.0888,Branded
#_# Frozen Chonk O Rocher - Chonkers,Branded,0.0,0.0001,Branded
POCHA (MOP),Branded,0.0,0.0072,Branded
Pizza Platter Butter Paper 16*9,Branded,0.0,0.848,Branded
Chuk Plate 11,Branded,0.0,1.0,Branded
Bandan Cap,Branded,0.0,0.0,Branded
Zukni Green,Branded,0.0001,0.0001,Branded
Butter Croissant-Snacc,Branded,0.0001,0.0003,Branded
coke 250ml bgl entperises aahar sale (Pack of 28),Branded,0.0001,0.9999,Branded
NONBROMITE BREAD IMPROVER 1 KG 0157,Branded,0.0001,0.7432,Branded
Finagel,Branded,0.0002,0.0002,Branded
Paper Cup 350ml (10'' Oz) FLYP,Branded,0.0003,0.0,Branded
Breakfast Sugar Trust 1 Kg,Branded,0.0003,0.0023,Branded
Q-com Teacake Blister Tray,Branded,0.0003,0.0,Branded
#_# XYLITOL Chocolate Hazelnut Icecream (600ML) - Bina,Branded,0.0007,0.0056,Branded
Long Note Book 200 Pgs Chandras SB,Branded,0.0007,0.4571,Branded
XO Sauce Sticker,Branded,0.0009,0.5964,Branded
Milkhana Melted Cheese,Branded,0.0032,0.0248,Branded
Mixed Veg Pickle (5 kg)-Snacc,Branded,0.0032,0.0241,Branded
#_# Wooden Spoon - Amore,Branded,0.0032,0.8376,Branded
#_# Big Bag - Stroopie,Branded,0.0032,0.0995,Branded
Boba Lychee can,Branded,0.0041,0.9046,Branded
Non Veg Spring Rolls -SNACC,Branded,0.0041,0.0062,Branded
SAKURA DRIED SHITAKE MUSHROOM,Branded,0.0052,0.9828,Branded
#_# Jar - Death By Chocolate - Getaway,Branded,0.0052,0.9997,Branded
CELLOFIN PAPER,Branded,0.0052,0.1733,Branded
tanquery gin 750,Branded,0.0052,1.0,Branded
#_# Eggless Chocolate Chip Pound Cake - Sweetish,Branded,0.0052,0.0016,Branded
#_# Sugar Free Chocolate Hazelnut Ice Cream Tub (125 ml) - Bina,Branded,0.0086,0.0076,Branded
Nam Shop Sticker   Prawn Crackers Large,Branded,0.011,0.0003,Branded
MRD Stickers,Branded,0.0141,0.539,Branded
Classic Ice Burst 10 Nos,Branded,0.0141,0.8245,Branded
SP Thundercrush French Fries 9mm,Branded,0.018,0.0001,Branded
#_# Caramelo Banditos Dough - Cookie Cartel,Branded,0.023,0.0002,Branded
COKE CANE,Branded,0.023,0.2878,Branded
SLEEVES 750 ML BAGASSE CATERSPOINT,Branded,0.0293,0.2095,Branded
A-005 Grill and Oven Cleaner ACTON,Branded,0.0293,0.6584,Branded
Teqila Blanco Don Angel 750 Ml,Branded,0.0293,0.7402,Branded
#_# COCO 40% Dark Chocolate - Ether,Branded,0.0373,0.9903,Branded
#_# Black Ceaser Dough - Cookie Cartel,Branded,0.0373,0.0008,Branded
Lotus Flour,Branded,0.0474,0.9997,Branded
Aampanna juice 150ml,Branded,0.0474,0.0005,Branded
GK-NY Pan Cake Sp Pkg Box 1PKT 100PC GK Dry 137497,Branded,0.0601,0.6723,Branded
DAILY FRESH SPROUTED PESARATTU BATTER POUCH 1/2KG,Branded,0.0601,1.0,Branded
Shudh Garhwal - Khoya Pindi 1KG,Branded,0.0759,0.0022,Branded
