title,label,brandname,conf_phase1,conf_phase2,verdict,status,flags,opus_label,web_findings
HOLLO MAT3125*5,Branded,HOLLO,0.0,0.0,D,review,likely_wrong,Branded,"Here is what the web reveals regarding the name “HOLLO” in the context of a potential Indian brand, company, or seller: - There is a HOLLO trademark registered in the United States by **Hollo, LLC**, covering kitchen spatulas (USPTO Class 21), located in Mercer Island, Washington, first used in commerce December 8, 2022, and registered February 6, 2024 ([trademarkelite.com](https://www.trademarkelite.com/trademark/trademark-detail/97747293/HOLLO?utm_source=openai)). - Another **Hollo** trademark application exists in the U.S. by **Hollo Medical Inc.**, filed January 25, 2025, for medical apparatus related to inhalers and nebulizers (Class 10) ([trademarks.justia.com](https://trademarks.justia.com/990/18/hollo-99018573.html?utm_source=openai)). - In India, “HOLLO” appears as a removed trademark (Class 25, garments) filed June 22, 1999, under proprietor **Dharam Chand Bhatia**, based in Ch"
TG-Party Snacks 35G Pouch,Branded,TG,0.0,0.0,D,review,likely_wrong,Branded,"Here’s what I found regarding the candidate name **“TG”** in relation to Indian brands or companies, especially in the food/snack sector: • **TG Food And Beverages Private Limited**: This is a registered, active private limited company incorporated on September 28, 2021, headquartered in Bangalore, Karnataka. It is classified under hospitality & wellness (NIC code 5520, restaurants/bars/canteens). Directors are Giriyappa Balaji and Shriya Balinda Ramesh ([allindiaitr.com](https://www.allindiaitr.com/company/tg-food-and-beverages-private-limited/U55201KA2021PTC152399?utm_source=openai)). • No other distinct **“TG”** brand or seller specifically tied to snacks or party food surfaced. However, several other companies include “TG” in their names in different sectors, such as TG Polymers & Co. (packaging, Kerala) ([tgpolymers.com](https://www.tgpolymers.com/blank-1?utm_source=openai)), but th"
QT Rail,Branded,QT Rail,0.0,0.0,D,review,likely_wrong,Branded,"I searched for ""QT Rail"" in the context of India as a possible brand, seller, or company. I found no evidence of any real company, trademark registration, marketplace listing, or seller operating under that exact name in India’s grocery, food‑service, or B2B sectors. However, I did identify a company named **Qrail** (without the space), which operates in India and was founded in 2013. It provides an online platform for real‑time train and flight status enquiries; its activities are in transportation/logistics—not groceries or food services ([thecompanycheck.com](https://www.thecompanycheck.com/company/b/qrail/d407958fda904c908?utm_source=openai)). Since the catalog context suggests that seller names may appear on unrelated items, but no listing or registration exists for ""QT Rail"" in relevant Indian business or trademark directories, there's likely no corroborating evidence for ""QT Rail"""
#_# Big Blue Box - Sweetish,Branded,Big Blue Box,0.0,0.0,D,review,likely_wrong,Branded,"Here’s what I found regarding **“Big Blue Box”** as a brand/company/seller: 1. I did not locate any Indian-based company, seller, or trademark with the exact name **“Big Blue Box”** in the food, grocery, bakery, or D2C sectors. 2. I did find **Big Box International Pvt. Ltd.**, an Indian company (founded 2012) offering e‑commerce solutions headquartered in New Delhi with a manufacturing hub in Ghaziabad, Uttar Pradesh ([bigboxcorp.com](https://bigboxcorp.com/home/?utm_source=openai)). 3. There is also **BIG‑BOX Distribution LLP**, an active LLP registered in Mumbai since December 2021, with partners listed and a registered address in Bandra East ([zaubacorp.com](https://www.zaubacorp.com/BIG-BOX-DISTRIBUTION-LLP-AAV-8088?utm_source=openai)). 4. Outside India, there is a U.K. company called **The Big Blue Box Ltd**, based in Weybridge, Surrey ([thebigbluebox.co.uk](https://thebigbluebox.c"
Bandan Cap,Branded,Bandan Cap,0.0,0.0,D,review,likely_wrong,Branded,"I searched for “Bandan Cap” in the context of Indian brands, sellers, or companies, but found no clear matches to that exact name. However, I did find similarly named entities: • “Bandan Corporate Private Limited” is an active electronics‐related private limited company based in Orai, Uttar Pradesh (incorporated January 11, 2023), with a registered capital structure and known directors ([allindiaitr.com](https://www.allindiaitr.com/company/bandan-corporate-private-limited/U52601UP2023PTC176825?utm_source=openai)). • “Yogi Cap Works” in Mumbai (Mohammed Ali Road) is a manufacturer, exporter, supplier, and retailer of bandana caps and related headwear ([exportersindia.com](https://www.exportersindia.com/yogi-cap-works/?utm_source=openai)). Thus, while “Bandan Cap” does not appear as a distinct, recognized cap brand or seller in India, there are real companies whose names are either close ("
UH ZUCCHINI GREENSMALL DICE1 KG / BAG,Branded,UH,0.0001,0.0,D,review,likely_wrong,Branded,"I found no evidence of a company, brand, or seller based in India with the exact name “UH” in the food, grocery, or food-service space. Searches for “UH” as a standalone brand or seller yielded only a generic corporate listing (company founded in 1997 with domain uh.com, with no business details) ([thecompanycheck.com](https://www.thecompanycheck.com/company/b/uh/mbwgs0gy2vl5orikd?utm_source=openai)). I also found “U Foods (India) Private Limited,” incorporated in Haryana in 2014, active in food processing (fish products, fruit bars, jellies, confectionery under brands such as Fruball and Yoli Yola), but this name is “U Foods,” not “UH” ([ufoodsindia.com](https://www.ufoodsindia.com/?utm_source=openai)). No matching trademarks, store listings, or sellers named “UH” related to diced zucchini or similar products were found."
Q-com Teacake Blister Tray,Branded,Q-com,0.0,0.0,D,review,likely_wrong,Branded,"I searched for ""Q‑com"" in the context of Indian brands, sellers, or companies related to grocery, bakery, or food‑service: - There is an **Amazon.in seller named “Amazon Retail QCom”**, a top‑10 seller on that marketplace as of 2025—it appears to be a seller account, not necessarily a brand or company registered under the name “Q‑com” ([sellerratings.com](https://www.sellerratings.com/amazon/india/amazon-retail-qcom?utm_source=openai)). - I located an **Indian company named Q Com Private Limited**, incorporated in Bangalore on March 10 2000, engaged in IT/data‑processing work, but it is currently struck off and not connected to food, groceries, or similar categories ([thecompanycheck.com](https://www.thecompanycheck.com/company/q-com-private-limited/U72300KA2000PTC026571?utm_source=openai)). No other Indian company or seller using ""Q‑com"" in this context surfaced in the search results."
Tea flask - 250 ML -Outer coorugated Box-Snacc,Branded,Snacc,0.0001,0.0,D,review,likely_wrong,Branded,"Here’s what I found regarding “Snacc” as a brand or seller in India: - **Snacc (clean‑label snacks)**: “Snacc” is a consumer-facing snack brand in India offering clean‑label products such as various flavored makhana (fox nuts). The brand’s About Us page notes it focuses on additive‑free, vegan, gluten‑free snacks and identifies its founder as Shrey Arora ([eatsnacc.com](https://eatsnacc.com/pages/about-us?utm_source=openai)). - **Snacc Bars (protein bars)**: Another entity using the “SNACC” name is SNACC Bars (part of Raw Canvas LLP), a teen‑targeted clean‑label protein‑bar brand based in Mumbai, with a founder named Rayhan Khimji ([mysnacc.com](https://www.mysnacc.com/?utm_source=openai)). - **Snacc Mart (snack platform)**: A Bengaluru‑based women‑led company named Snacc Mart sources and delivers Indian snacks (namkeens) from home‑based makers; the brand is listed on Swiggy and Zomato a"
Sargvo-Drumsticks,Branded,Sargvo,0.0003,0.0,D,review,likely_wrong,Branded,"I searched for “Sargvo” as a potential brand or seller in India and found no evidence of any company, trademark, or marketplace listing under that name. I did locate some phonetically similar names—**Sargo Tools Pvt. Ltd.**, an automotive components manufacturer in Faridabad (Haryana) ([sargotools.com](https://sargotools.com/?utm_source=openai)), and **Sarvo Technologies Limited**, a machinery‑manufacturing firm also in Faridabad ([emis.com](https://www.emis.com/php/company-profile/IN/Sarvo_Technologies_Limited_en_4059006.html?utm_source=openai))—but none match “Sargvo.” There were no active trademarks for “Sargvo,” nor alternative seller names on catalog items that suggest a mis‑tag."
Dollur Amla Jar,Branded,Dollur,0.0003,0.0,D,review,likely_wrong,Branded,"I found no evidence that **Dollur** is a recognized brand, company, or seller in India related to grocery or food-service, nor any trademark or registration under that name, even after searching various business and corporate records. However, I did find a company named **DOLLOR TECHNOLOGIES PRIVATE LIMITED**—registered in Chennai, Tamil Nadu and incorporated on May 10, 2018, operating in the manufacture of motor vehicles, trailers, and semi-trailers. This appears unrelated to food or groceries ([instafinancials.com](https://www.instafinancials.com/company/dollor-technologies-private-limited-U34300TN2018PTC122600?utm_source=openai)). Thus, while no food‑relevant “Dollur” entity appears online, a similarly spelled legal entity does exist—but not in the expected industry or region."
