title,sonnet_label,opus_label,confidence,verdict,status,flags,brandname,reasoning
TT RIBBAN J304 (110MM X 300MTR),Branded,Unbranded,0.852,A,accepted,,TT,"The product title begins with 'TT', which is a well-known brand in the Indian market, particularly associated with stationery, ribbons, and office/packaging supplies. 'RIBBAN' is a phonetic/abbreviated spelling of 'RIBBON', and 'J304' appears to be a specific model/product code. The dimensions '110MM X 300MTR' indicate this is a ribbon roll (likely an ink ribbon or thermal transfer ribbon) measuring 110mm wide and 300 meters long. TT (also known as TT brand) is a recognized Indian brand that manufactures ribbons, tapes, and related products. The presence of a distinct brand prefix 'TT' followed by a model code 'J304' strongly indicates this is a branded product."
PERFECT NO-BAKE CHEESECAKE MIX (1KG),Branded,Unbranded,0.9981,A,accepted,,Perfect,"The product title 'PERFECT NO-BAKE CHEESECAKE MIX (1KG)' begins with 'PERFECT', which appears to be a brand name rather than a descriptive adjective in this context. In Indian B2B food-service catalogs, 'Perfect' is a known brand that manufactures baking mixes, dessert mixes, and related food products. The product is a no-bake cheesecake mix sold in a 1KG pack, typical of a food-service/HoReCa format. The capitalization of 'PERFECT' at the start of the product name, followed by the product descriptor, is consistent with branded product naming conventions. 'Perfect' brand is associated with bakery and confectionery ingredients in the Indian market."
Economy - Staff Toor Dal 1 Kg (Non IP) 131965,Branded,Unbranded,0.9981,A,accepted,,Economy,"The product title begins with 'Economy' which is a known brand name used in the Indian B2B/food-service grocery market for staples and pulses. 'Staff Toor Dal' suggests this is a staff/institutional variant (commonly sold to hotels, canteens, or institutional buyers) of Toor Dal (split pigeon peas). '1 Kg' indicates the pack size. '(Non IP)' likely means 'Non-Individually Packed' or 'Non-Iodized/Plain' — in the context of pulses, it most likely refers to a non-individually packed or non-retail pack variant, possibly without inner packaging, suited for bulk/institutional use. '131965' appears to be an internal SKU or catalog code. The word 'Economy' here is capitalized and precedes the product descriptor in a manner consistent with a brand name rather than a generic descriptor of price range, and it is a recognized brand in the Indian institutional food supply chain."
UCC 2door 3drawer + raised BM + 1/6gnx6,Branded,Unbranded,0.9996,A,accepted,,UCC,"The product title begins with 'UCC', which appears to be a brand identifier for commercial kitchen/refrigeration equipment. The rest of the title describes the product specifications: '2door 3drawer' refers to a refrigeration unit with 2 doors and 3 drawers, 'raised BM' likely refers to a raised base mount or bottom mount configuration, and '1/6gnx6' refers to 1/6 gastronorm pan capacity times 6, a standard sizing notation used in commercial food-service refrigeration equipment. UCC is a known manufacturer/brand of commercial refrigeration and food-service equipment. The structured specification format further supports this being a branded commercial product with model-level detail."
Flow Wrap Rolls - Raspberry Duet (60 ml),Branded,Unbranded,0.9997,A,accepted,,Duet,"The product title 'Flow Wrap Rolls - Raspberry Duet (60 ml)' refers to individually flow-wrapped ice cream or frozen dessert rolls. 'Duet' appears to be a brand name for a specific product line — Duet is a well-known ice cream brand (associated with Kwality Wall's / HUL in India and similar markets), which produces duo-flavored or layered frozen treats. The 'Raspberry' indicates the flavor variant, and '60 ml' is the standard single-serve portion size typical of branded impulse ice cream products. Flow wrap packaging is a standard format used by branded ice cream manufacturers for individual stick/roll products. The capitalization and specific naming convention ('Raspberry Duet') strongly suggest this is a branded SKU rather than a generic commodity product."
#_# Asafoetida / Hing - murukku,Unbranded,Branded,1.0,A,accepted,,,"The product title 'Asafoetida / Hing - murukku' describes a generic food product. 'Asafoetida' (also known as 'Hing') is a common spice/ingredient used in Indian cooking. 'Murukku' is a traditional South Indian savory snack. The title appears to describe a murukku snack flavored with or made using asafoetida/hing. There is no identifiable brand name present in the title — no manufacturer, trademark, or proprietary label is mentioned. The format is purely descriptive, using common ingredient and product category names, typical of unbranded or generic B2B catalog listings. The '#_#' prefix appears to be an internal catalog code or separator, not a brand indicator."
#_# Mustard Seeds Temper/Tadka - Murukku,Unbranded,Branded,1.0,A,accepted,,,"The product title 'Mustard Seeds Temper/Tadka - Murukku' describes a generic food item — a murukku (a South Indian savory snack) flavored or prepared with mustard seeds tempering (tadka). The title contains only descriptive/generic terms: 'Mustard Seeds' refers to the spice/flavoring, 'Temper/Tadka' refers to the cooking technique of tempering spices, and 'Murukku' is the common name for the traditional South Indian fried snack. There is no identifiable brand name, logo reference, trademark, or proprietary label present in the title. The format is typical of unbranded or loosely packed bulk/commodity snack products commonly sold in Indian B2B grocery catalogs without any brand association."
#_# Mysore Chutney Frozen - Murukku,Unbranded,Branded,1.0,A,accepted,,,"The product title 'Mysore Chutney Frozen - Murukku' appears to be a descriptive listing rather than a branded product. 'Mysore Chutney' refers to a style/flavor of chutney originating from Mysore (a city in Karnataka, India), used here as a flavor descriptor for Murukku (a traditional South Indian crunchy snack). 'Frozen' indicates the product's storage/preparation state. There is no identifiable brand name present in the title — 'Mysore' is a geographical indicator, not a brand. This is typical of unbranded or generic B2B catalog entries where products are described by their type, flavor, and form rather than by a commercial brand name. No trademark, manufacturer name, or proprietary brand identifier is visible."
#_# Stirrer - Murukku,Unbranded,Branded,1.0,A,accepted,,,"The product title 'Stirrer - Murukku' appears to be a generic/descriptive listing. 'Murukku' is a traditional South Indian savory snack made from rice flour and urad dal, commonly sold in bulk or loose form in B2B/food-service contexts. 'Stirrer' here likely refers to a variant or shape descriptor (murukku is known for its spiral/twisted shape, and 'stirrer' may refer to a stick/straight murukku variant resembling a stirrer). There is no brand name, trademark, logo reference, or proprietary name mentioned anywhere in the title. The format is purely descriptive, consistent with unbranded or generic bulk commodity listings common in Indian B2B grocery catalogs."
#_# Roasted Chana Dal - Murukku,Unbranded,Branded,1.0,A,accepted,,,"The product title 'Roasted Chana Dal - Murukku' is a purely descriptive name consisting of common food terms. 'Roasted Chana Dal' refers to the ingredient (roasted split chickpeas), and 'Murukku' is a traditional South Indian/Indian savory snack made by extruding dough through a mold. There is no brand name, manufacturer label, trademark, or proprietary identifier present in the title. The '#_#' prefix appears to be an internal catalog code or separator used by the platform, not a brand indicator. This is a generic product listing typical of unbranded or loosely packed (kirana/bulk) items commonly found in Indian B2B food-service catalogs."
